procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0   1280 25945284 2290536 99026328    0    0    51    76    5    1  3  1 96  0  0
17  0   1280 25990612 2290536 99026464    0    0     0     4 32727 2508 18  6 76  0  0
18  0   1280 26034688 2290536 99026472    0    0     0   108 33088 3104 18  6 75  0  0
17  0   1280 26068672 2290536 99026480    0    0     0     4 33463 3085 18  6 76  0  0
16  0   1280 26095772 2290536 99026624    0    0     0     4 33795 2751 19  6 75  0  0
16  0   1280 26128964 2290540 99026624    0    0     0  1456 33263 2982 19  7 74  0  0
17  0   1280 26157572 2290540 99026632    0    0     0   104 33412 2950 18  6 76  0  0
17  0   1280 26194704 2290540 99026640    0    0     0    56 33218 2782 19  6 76  0  0
18  0   1280 26193856 2290540 99026648    0    0     0     4 34181 2990 19  7 74  0  0
17  0   1280 26035368 2290540 99026656    0    0     0     8 32801 2785 19  6 75  0  0
17  0   1280 26023700 2290540 99026656    0    0     0  1408 31450 2960 19  6 75  0  0
22  0   1280 26023700 2290544 99026680    0    0     0    36 33864 2894 20  7 74  0  0
16  0   1280 26028652 2290544 99026688    0    0     0     8 34697 2818 19  6 76  0  0
16  0   1280 26039360 2290544 99026696    0    0     0     8 33694 2703 19  6 75  0  0
16  0   1280 26048180 2290544 99026704    0    0     0   108 34539 2765 19  6 75  0  0
17  0   1280 26056416 2290544 99026704    0    0     0  1412 34737 2524 19  6 75  0  0
16  0   1280 26059400 2290544 99026848    0    0     0     4 34342 2816 19  7 74  0  0
17  0   1280 26058588 2290544 99026848    0    0     0    20 34465 2546 19  6 75  0  0
16  0   1280 26067700 2290544 99026864    0    0     0    92 34623 2456 19  6 75  0  0
16  0   1280 26071180 2290544 99026872    0    0     0     4 34192 3032 18  6 76  0  0
17  0   1280 26012516 2290544 99026880    0    0     0  1344 33924 2951 19  6 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0   1280 25876260 2290544 99026888    0    0     0     8 31185 3227 18  6 76  0  0
16  0   1280 25875604 2290544 99026888    0    0     0     8 34078 2656 19  7 74  0  0
16  0   1280 25882668 2290548 99026904    0    0     0   132 34876 2629 19  5 76  0  0
17  0   1280 25885064 2290548 99026912    0    0     0     8 33974 2958 19  6 75  0  0
16  0   1280 25892232 2290548 99026920    0    0     0     4 34642 2357 19  6 75  0  0
17  0   1280 25895972 2290548 99026928    0    0     0  1332 34103 2365 18  6 75  0  0
17  0   1280 25895204 2290548 99026944    0    0     0    96 34084 2984 18  7 74  0  0
16  0   1280 25896976 2290548 99026944    0    0     0    12 34077 2705 19  6 76  0  0
16  0   1280 25896820 2290552 99027080    0    0     0    16 34807 2458 19  6 75  0  0
18  0   1280 25899452 2290552 99027072    0    0     0     4 34035 2847 18  6 76  0  0
16  0   1280 25901156 2290552 99027120    0    0     0  1432 34818 2782 19  7 74  0  0
18  0   1280 25902500 2290552 99027128    0    0     0    28 33456 2491 19  6 76  0  0
17  0   1280 25890660 2290552 99027136    0    0     0     8 32211 2713 20  7 74  0  0
16  0   1280 25901792 2290552 99027144    0    0     0     0 33466 2508 19  6 75  0  0
16  0   1280 25902204 2290560 99027152    0    0     0   116 34016 3259 18  6 76  0  0
16  0   1280 25904712 2290560 99027160    0    0     0  1368 34729 2862 19  7 75  0  0
18  0   1280 25904644 2290560 99027168    0    0     0     8 29822 2538 17  6 77  0  0
15  0   1280 25904540 2290560 99027168    0    0     0     8 34108 3082 19  7 75  0  0
 2  0   1280 25905404 2290560 99027184    0    0     0    96 32818 2873 18  6 76  0  0
18  0   1280 25910380 2290560 99027320    0    0     0   172 34098 2775 19  7 74  0  0
16  0   1280 25909592 2290564 99027328    0    0     0  1508 34043 2966 19  6 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0   1280 25899944 2290564 99027344    0    0     0    24 33962 2610 19  6 75  0  0
18  0   1280 25910304 2290564 99027360    0    0     0   120 34280 2991 19  6 75  0  0
16  0   1280 25909496 2290564 99027360    0    0     0     8 34358 2666 19  7 74  0  0
16  0   1280 25883332 2290564 99027376    0    0     0     8 30313 2808 18  6 77  0  0
17  0   1280 25863444 2290564 99027376    0    0     0  1404 29743 3352 18  6 76  0  0
17  0   1280 25851912 2290564 99027392    0    0     0    28 31018 2838 18  8 74  0  0
16  0   1280 25841788 2290564 99027392    0    0     0   160 29190 3056 16  7 77  0  0
18  0   1280 25829780 2290564 99027400    0    0     0     8 31706 2506 18  9 73  0  0
16  0   1280 25835236 2290564 99027408    0    0     0     4 34923 2606 19  6 75  0  0
16  0   1280 25839728 2290564 99027416    0    0     0  1220 34020 3064 18  6 76  0  0
16  0   1280 25845168 2290564 99027424    0    0     0   112 33863 2838 18  6 75  0  0
16  0   1280 25846468 2290564 99027568    0    0     0     8 33824 2812 18  6 76  0  0
21  0   1280 25847884 2290564 99027576    0    0     0     4 34430 2854 18  6 76  0  0
16  0   1280 25849312 2290564 99027584    0    0     0     8 34930 2678 19  6 74  0  0
16  0   1280 25854620 2290564 99027584    0    0     0  1432 34703 2677 19  7 74  0  0
16  0   1280 25855848 2290564 99027592    0    0     0    32 34943 2876 19  6 75  0  0
17  0   1280 25846424 2290564 99027600    0    0     0    24 30427 3139 19  6 76  0  0
16  0   1280 25853332 2290564 99027608    0    0     0     8 33448 2629 19  6 75  0  0
17  0   1280 25850756 2290564 99027616    0    0     0    84 35209 2829 19  7 74  0  0
16  0   1280 25850152 2290564 99027632    0    0     0     4 33483 2476 18  7 75  0  0
16  0   1280 25845232 2290564 99027648    0    0     0  1304 31807 2563 18  7 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0   1280 25837880 2290564 99027648    0    0     0    16 31384 2770 18  8 75  0  0
16  0   1280 25842352 2290568 99027656    0    0     0    88 31127 2140 17  8 75  0  0
17  0   1280 25831232 2290568 99027792    0    0     0    20 31157 2437 17  8 75  0  0
17  0   1280 25834676 2290568 99027800    0    0     0     8 31945 2368 17  9 74  0  0
15  0   1280 25825524 2290568 99027808    0    0     0  1312 31494 2456 17  8 75  0  0
16  0   1280 25830236 2290568 99027824    0    0     0     8 30266 2353 18  8 74  0  0
16  0   1280 25815636 2290568 99027824    0    0     0   108 24506 2212 14 10 76  0  0
17  0   1280 25813760 2290568 99027840    0    0     0     4 25975 2186 15 11 74  0  0
17  0   1280 25812836 2290568 99027840    0    0     0    28 26087 2070 15 10 75  0  0
17  0   1280 25790696 2290568 99027848    0    0     0  1360 26047 2431 16 10 74  0  0
16  0   1280 25787912 2290568 99027856    0    0     0    96 34285 2323 19  6 75  0  0
17  0   1280 25778184 2290568 99027864    0    0     0    20 34379 2267 19  6 75  0  0
16  0   1280 25787616 2290576 99027872    0    0     0   152 34303 2492 18  6 76  0  0
16  0   1280 25787888 2290576 99027880    0    0     0     8 34389 2585 18  6 76  0  0
17  0   1280 25785668 2290576 99027888    0    0     0  1452 34174 2402 19  7 74  0  0
17  0   1280 25790936 2290576 99028024    0    0     0     4 34779 2495 18  6 75  0  0
16  0   1280 25790880 2290576 99028032    0    0     0     4 34148 2607 18  6 76  0  0
17  0   1280 25792992 2290576 99028048    0    0     0     8 34949 2356 19  6 75  0  0
16  0   1280 25795176 2290580 99028056    0    0     0    16 34428 2304 19  7 75  0  0
16  0   1280 25804944 2290580 99028064    0    0     0  1664 34415 2458 18  6 75  0  0
17  0   1280 25798148 2290580 99028080    0    0     0     4 34274 2464 18  7 75  0  0
