procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0   5120 23172452 2283564 100939056    0    0  3940 37524 10768 14461 14  5 81  0  0
13  0   5120 23151200 2283584 100947040    0    0   960 28556 8891 12681 11  4 86  0  0
 8  0   5120 23125160 2283608 100951632    0    0   844 32652 8728 12336 11  5 84  0  0
14  0   5120 23539824 2283664 100453392    0    0 44400 39504 8070 15160  9  6 85  0  0
12  0   5120 23600552 2283888 100365072    0    0 60700 56008 9519 14121 10  5 84  0  0
16  0   5120 23531428 2284088 100409488    0    0 58612 87196 9570 13914 12  5 82  1  0
15  0   5120 23454936 2284216 100456192    0    0 58092 89084 8819 13258 11  7 82  0  0
12  0   5120 23331348 2284304 100525200    0    0 60320 103088 9308 13372 12  6 82  0  0
15  1   5120 23359128 2284392 100460216    0    0 58868 145544 10604 14191 14  5 81  0  0
13  0   5120 23365972 2284584 100389296    0    0 68672 112072 9945 14523 12  6 82  0  0
15  0   5120 23313304 2284676 100405600    0    0 68172 142016 9562 13377 12  6 82  0  0
17  0   5120 23300240 2284724 100369824    0    0 54244 59416 8312 13725 11  6 82  0  0
13  0   5120 23274316 2284812 100326216    0    0 80220 75868 8892 13426 11  6 83  0  0
17  0   5120 23133780 2284860 100401456    0    0 71320 68316 8274 11775 12  6 82  0  0
