tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,175,47.297%,0.436s,0.673s,5.0,1.714%,0,N/A
PAYMENT,163,44.054%,0.276s,0.558s,5.0,N/A,0,N/A
ORDER_STATUS,12,3.243%,0.198s,0.281s,5.0,N/A,0,N/A
STOCK_LEVEL,11,2.973%,0.118s,0.118s,20.0,N/A,0,N/A
DELIVERY,9,2.432%,0.003s,0.004s,5.0,N/A,0,N/A
DELIVERY_BG,9,N/A,0.504s,0.506s,80.0,N/A,0,0
tpmC,Inf,Inf%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,Inf,N/A,N/A,N/A,N/A,N/A,N/A,N/A
