procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2304 656764 5625212 24479532    0    0     0     0 17428 14428  2  2 96  0  0  0
 0  0   2304 656764 5625220 24479532    0    0     0    12 16962 13778  1  3 96  0  0  0
 2  0   2304 656764 5625224 24479532    0    0     0   120 17166 13999  2  3 95  0  0  0
 1  0   2304 656764 5625224 24479532    0    0     0     0 16940 13544  1  3 96  0  0  0
 1  0   2304 652188 5625224 24479532    0    0     0     0 17786 15145  1  3 95  0  0  0
 0  0   2304 652864 5625224 24479532    0    0     0     0 18008 14923  1  3 96  0  0  0
 0  0   2304 652608 5625224 24479532    0    0     0     0 13588 11192  2  2 96  0  0  0
 1  0   2304 652352 5625240 24479532    0    0     0    44 12461 10719  1  2 97  0  0  0
 0  0   2304 652608 5625240 24479532    0    0     0   300 13513 11054  1  2 96  0  0  0
 0  0   2304 652616 5625240 24479540    0    0     0     0 17006 13606  2  3 96  0  0  0
 0  0   2304 652616 5625240 24479532    0    0     0     0 17029 13963  1  3 96  0  0  0
 0  0   2304 652360 5625240 24479532    0    0     0     0 16868 13438  2  3 96  0  0  0
 0  0   2304 652616 5625240 24479540    0    0     0     0 13054 11613  2  2 96  0  0  0
 1  0   2304 652360 5625244 24479532    0    0     0   268 17591 13963  2  2 96  0  0  0
 2  0   2304 652616 5625244 24479532    0    0     0    32 17957 15249  2  2 96  0  0  0
 2  0   2304 652360 5625244 24479540    0    0     0     0 17397 13978  2  3 96  0  0  0
 0  0   2304 652616 5625244 24479532    0    0     0     0 17800 14815  2  3 96  0  0  0
 2  0   2304 652616 5625244 24479532    0    0     0     0 17705 14857  2  3 95  0  0  0
 2  0   2304 652616 5625244 24479532    0    0     0     0 18135 15689  2  3 95  0  0  0
