procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16384 23180244 2034824 101414840    0    0     0    12 1130 2180  2  1 97  0  0
 1  0  16384 23181880 2034824 101414840    0    0     0     0 1161 2283  2  0 98  0  0
 1  0  16384 23183228 2034824 101414840    0    0     0     0 1153 2402  2  1 98  0  0
 1  0  16384 23184984 2034824 101414840    0    0     0     0 1157 1969  1  0 98  0  0
 1  0  16384 23186804 2034824 101414840    0    0     0     0 1144 2264  2  1 97  0  0
 1  0  16384 23188432 2034828 101414840    0    0     0    20 1163 2135  1  0 98  0  0
 2  0  16384 23182384 2034828 101414840    0    0     0     0 1174 2104  1  0 98  0  0
 1  0  16384 23191960 2034828 101414840    0    0     0     0 1216 2105  2  1 98  0  0
 2  0  16384 23193328 2034828 101414840    0    0     0     0 1160 2046  1  0 98  0  0
 7  0  16384 23194560 2034828 101414840    0    0     0     0 1175 2215  2  1 98  0  0
 1  0  16384 23195716 2034828 101414840    0    0     0     4 1163 2290  1  1 97  0  0
 1  0  16384 23197876 2034828 101414840    0    0     0    12 1193 1984  1  1 98  0  0
 1  0  16384 23199388 2034828 101414840    0    0     0     0 1209 2075  1  0 98  0  0
 2  0  16384 23201036 2034828 101414840    0    0     0     0 1167 2065  1  1 98  0  0
 1  0  16384 23201972 2034828 101414840    0    0     0     0 1168 2184  1  0 98  0  0
 2  0  16384 23195480 2034828 101414840    0    0     0     4 1163 2274  2  1 97  0  0
 1  0  16384 23207176 2034832 101414840    0    0     0    12 1151 2152  2  1 98  0  0
 1  0  16384 23208356 2034832 101414840    0    0     0     0 1144 2103  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  16384 23210556 2034832 101414840    0    0     0     0 1142 2362  2  1 98  0  0
 1  0  16384 23211120 2034832 101414848    0    0     0     0 1146 2132  1  0 98  0  0
 2  0  16384 23210248 2034832 101414848    0    0     0     0 1142 2152  1  1 98  0  0
 1  0  16384 23211376 2034836 101414840    0    0     0    20 1158 2150  2  1 97  0  0
 1  0  16384 23210652 2034836 101414848    0    0     0     0 1153 2153  1  1 98  0  0
 4  0  16384 23211420 2034836 101414848    0    0     0     0 1146 2186  1  0 98  0  0
 2  0  16384 23208752 2034836 101414848    0    0     0     0 1182 2096  1  0 98  0  0
