procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   1280 24842612 2291644 100121912    0    0    45    68    0    3  3  1 96  0  0
 5  0   1280 24877236 2291644 100123464    0    0  1436     0 3010 7966  4  2 94  0  0
 8  0   1280 24910268 2291644 100125192    0    0  1080     0 3030 8355  3  3 93  0  0
 6  0   1280 24930956 2291648 100127008    0    0  1200  2100 3075 8433  3  2 94  0  0
 8  0   1280 24972968 2291648 100128272    0    0  1104     0 3023 7928  3  2 94  0  0
 6  0   1280 25009148 2291648 100129728    0    0  1232     0 2998 8163  3  2 95  0  0
 4  0   1280 25036976 2291648 100131360    0    0   872     0 2922 7963  3  2 94  0  0
 6  0   1280 25075200 2291648 100132352    0    0   760     0 3348 8730  4  2 94  0  0
 7  0   1280 25108644 2291652 100134384    0    0  1328    24 3537 9006  4  3 93  0  0
 6  0   1280 25146608 2291652 100135648    0    0   832     0 3682 8681  4  2 95  0  0
 7  0   1280 25180712 2291652 100138032    0    0  2056     0 3507 8889  4  2 94  0  0
 8  0   1280 25237268 2291652 100139760    0    0  1036     0 3163 8222  3  2 94  0  0
 5  0   1280 25283564 2291652 100141008    0    0   688     0 2870 7634  3  2 94  0  0
 7  0   1280 25311820 2291652 100142256    0    0   724    12 2323 6621  3  4 93  0  0
 4  0   1280 25346520 2291652 100143112    0    0   900     0 2450 7018  3  3 94  0  0
 2  0   1280 25386296 2291652 100144144    0    0   620     0 2193 6255  3  3 94  0  0
 1  0   1280 25410228 2291652 100145336    0    0  1236     0 2226 6146  3  3 94  0  0
 4  0   1280 25439756 2291652 100146616    0    0   368     0 2238 6338  3  3 94  0  0
 7  0   1280 25457828 2291660 100147328    0    0   676    12 2244 6031  3  3 94  0  0
 7  0   1280 25488576 2291660 100148288    0    0   684     0 2296 6312  3  4 93  0  0
 5  0   1280 25524900 2291660 100149392    0    0  1136     0 2340 6211  2  3 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   1280 25532108 2291660 100151168    0    0   868     0 2390 6376  3  3 95  0  0
 5  0   1280 25503124 2291660 100152040    0    0  1124     0 3255 7002  3  2 94  0  0
 4  0   1280 25454716 2291664 100154048    0    0  1496    12 3442 7481  4  1 95  0  0
 6  0   1280 25410228 2291664 100155320    0    0  1016     0 3149 6962  4  2 94  0  0
 5  0   1280 25362996 2291664 100157120    0    0   968     0 3440 7568  4  2 95  0  0
 7  0   1280 25312392 2291664 100158896    0    0  1696     0 3525 7279  4  2 95  0  0
 8  0   1280 25266880 2291664 100161104    0    0  1472     0 3373 7428  4  2 95  0  0
 5  0   1280 25214836 2291664 100162328    0    0  1104  9928 3498 7364  3  2 95  0  0
 3  0   1280 25151876 2291664 100164744    0    0  1228     0 3267 7322  4  2 94  0  0
 4  0   1280 25095256 2291664 100166000    0    0  1056     0 3280 7565  3  3 94  0  0
 4  0   1280 25047544 2291664 100167936    0    0  1268     0 3324 7601  4  2 94  0  0
 4  0   1280 24995268 2291664 100169680    0    0   932     0 3272 7082  4  1 95  0  0
 4  0   1280 24949192 2291668 100170600    0    0   708    20 3281 7474  4  2 94  0  0
