procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  1   2304 784040 5480068 24572864    0    0  4754   191 4200    3  1  1 99  0  0  0
 0  0   2304 783024 5480084 24572868    0    0     0    76 7991 8825  1  1 98  0  0  0
 0  0   2304 783564 5480084 24572868    0    0     0    20 7835 8648  1  2 98  0  0  0
 1  0   2304 783952 5480084 24572868    0    0     0     0 8204 10676  1  2 98  0  0  0
 0  0   2304 785872 5480084 24572868    0    0     0    88 8111 9369  1  1 98  0  0  0
 0  0   2304 785872 5480084 24572868    0    0     0   300 7774 9442  1  1 98  0  0  0
 0  0   2304 785872 5480092 24572868    0    0     0    68 7824 8672  0  1 98  0  0  0
 1  0   2304 785872 5480100 24572868    0    0     0    16 8090 8565  1  1 98  0  0  0
 0  0   2304 785872 5480100 24572868    0    0     0     0 7128 7696  0  1 98  0  0  0
 0  0   2304 785872 5480100 24572868    0    0     0   140 7647 8741  1  1 98  0  0  0
 0  0   2304 785872 5480100 24572868    0    0     0     0 6040 6628  0  1 99  0  0  0
 0  0   2304 785872 5480100 24572868    0    0     0    24 6973 7527  0  1 99  0  0  0
 0  0   2304 785872 5480108 24572860    0    0     0    16 6568 7140  0  1 98  0  0  0
 0  0   2304 785872 5480116 24572868    0    0     0    16 6551 8220  1  1 98  0  0  0
 0  0   2304 785620 5480116 24572868    0    0     0     0 6130 6846  0  1 99  0  0  0
 0  0   2304 785620 5480116 24572868    0    0     0     0 6609 8268  1  1 98  0  0  0
 0  0   2304 785620 5480116 24572868    0    0     0    68 6668 7195  0  1 99  0  0  0
 1  0   2304 785368 5480116 24572868    0    0     0     0 7274 8320  1  1 98  0  0  0
 0  0   2304 784612 5480124 24572868    0    0     0    28 8003 9308  1  1 98  0  0  0
 1  0   2304 784612 5480132 24572868    0    0     0    16 7560 9117  1  1 98  0  0  0
 0  0   2304 784100 5480132 24572868    0    0     0     0 7497 7803  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2304 784612 5480132 24572868    0    0     0    84 7385 8107  1  1 98  0  0  0
 0  0   2304 784108 5480132 24572868    0    0     0     0 7455 8070  1  1 98  0  0  0
 0  0   2304 784108 5480132 24572868    0    0     0   168 7206 8704  0  1 98  0  0  0
 0  0   2304 796220 5480132 24572868    0    0     0    12 7279 7751  1  1 98  0  0  0
 0  0   2304 795716 5480148 24572868    0    0     0    40 7082 8026  1  1 98  0  0  0
 0  0   2304 795716 5480148 24572868    0    0     0     0 7131 7671  1  1 99  0  0  0
 0  0   2304 795716 5480148 24572868    0    0     0     0 6929 7874  1  1 98  0  0  0
 0  0   2304 795716 5480148 24572868    0    0     0   124 6234 6979  0  1 99  0  0  0
 0  0   2304 795716 5480148 24572868    0    0     0     0 6613 7913  0  1 98  0  0  0
 0  0   2304 795716 5480156 24572872    0    0     0    44 6938 7591  1  1 98  0  0  0
 0  0   2304 795716 5480164 24572872    0    0     0    16 7810 8790  1  1 98  0  0  0
 0  0   2304 795968 5480164 24572872    0    0     0     0 7769 8657  1  1 99  0  0  0
 0  0   2304 795968 5480164 24572872    0    0     0     0 8128 10045  1  2 98  0  0  0
 0  0   2304 795968 5480164 24572872    0    0     0     4 7915 8781  1  1 98  0  0  0
