procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 713700 5622660 24478780    0    0  2083   113 2925    3  1  0 99  0  0  0
 0  0   2304 714332 5622660 24478784    0    0     0    52 10424 9527  1  2 97  0  0  0
 0  0   2304 714076 5622660 24478784    0    0     0     0 10427 9486  1  2 97  0  0  0
 0  0   2304 714428 5622660 24478784    0    0     0   148 10595 9537  1  2 97  0  0  0
 0  0   2304 713668 5622660 24478784    0    0     0     4 10986 10527  1  2 97  0  0  0
 0  0   2304 713168 5622668 24478788    0    0     0    36 10802 9634  1  2 97  0  0  0
 0  0   2304 708820 5622676 24478788    0    0     0    48 11281 11746  1  2 97  0  0  0
 0  0   2304 708564 5622676 24478788    0    0     0    88 10898 9946  1  2 97  0  0  0
 0  0   2304 708820 5622676 24478792    0    0     0     0 10032 8889  1  2 98  0  0  0
 0  0   2304 708052 5622676 24478792    0    0     0     4 9231 8036  1  2 98  0  0  0
 0  0   2304 708820 5622684 24478792    0    0     0   196 10521 9301  1  2 97  0  0  0
 1  0   2304 708820 5622684 24478792    0    0     0    24 10385 8668  1  1 98  0  0  0
 0  0   2304 708820 5622692 24478792    0    0     0    12 10628 9034  1  2 97  0  0  0
 0  0   2304 708564 5622692 24478792    0    0     0   104 10196 8468  1  2 97  0  0  0
 2  0   2304 708820 5622692 24478792    0    0     0     0 10720 9418  1  1 97  0  0  0
 0  0   2304 708820 5622700 24478784    0    0     0   256 10415 8684  1  2 97  0  0  0
 0  0   2304 708316 5622700 24478792    0    0     0     0 10529 10266  1  2 97  0  0  0
 2  0   2304 708572 5622700 24478792    0    0     0     0 10189 8328  1  2 98  0  0  0
 0  0   2304 708316 5622708 24478792    0    0     0    12 10485 9303  1  1 98  0  0  0
 0  0   2304 708060 5622708 24478792    0    0     0    52 10438 9123  1  1 98  0  0  0
 0  0   2304 708316 5622712 24478788    0    0     0    48 10335 8742  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 708460 5622712 24478796    0    0     0     4 9882 8238  1  2 97  0  0  0
 1  0   2304 708204 5622712 24478796    0    0     0     0 8898 8135  1  1 98  0  0  0
 0  0   2304 708460 5622712 24478796    0    0     0     0 10297 8532  1  1 98  0  0  0
