procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   1280 26093216 2291588 100059504    0    0    45    68    0    3  3  1 96  0  0
 1  0   1280 26092944 2291588 100061064    0    0   992     0 1153 4235  1  1 98  0  0
 4  0   1280 26085224 2291588 100061808    0    0   636     0 1151 4113  1  1 98  0  0
 1  0   1280 26091784 2291592 100062832    0    0   768   800 1186 4271  1  1 98  0  0
 1  0   1280 26092312 2291592 100063640    0    0   516     0 1148 4201  1  1 98  0  0
 2  0   1280 26090148 2291592 100064080    0    0   344     0 1156 3928  1  1 98  0  0
 1  0   1280 26089856 2291592 100064608    0    0   424     0 1140 4242  1  0 98  0  0
 1  0   1280 26089708 2291592 100065104    0    0   224     0 1160 4361  1  1 98  0  0
 1  0   1280 26089204 2291596 100065456    0    0   320    24 1163 4193  1  1 97  0  0
 1  0   1280 26088312 2291596 100066264    0    0   816     0 1178 4033  1  1 98  0  0
 3  0   1280 26088424 2291596 100067032    0    0   428     0 1151 4020  1  0 98  0  0
 2  0   1280 26080524 2291596 100067344    0    0   312     0 1149 4013  1  1 98  0  0
 1  0   1280 26086640 2291596 100068560    0    0   852     0 1175 4301  1  1 98  0  0
 2  0   1280 26086016 2291596 100069040    0    0   916  1544 1197 4272  1  1 98  0  0
 2  0   1280 26084144 2291596 100070192    0    0   656     0 1179 3930  1  1 97  0  0
 2  0   1280 26084436 2291596 100070848    0    0   196     0 1183 4062  1  0 98  0  0
 1  0   1280 26084972 2291596 100071088    0    0   456     0 1204 4232  1  1 98  0  0
 1  0   1280 26085080 2291596 100071728    0    0   448     0 1177 3996  1  0 98  0  0
 1  0   1280 26085024 2291600 100072304    0    0   616    16 1200 4131  1  1 97  0  0
 2  0   1280 26083692 2291600 100073008    0    0   148     0 1170 4094  1  1 97  0  0
 3  0   1280 26076560 2291600 100073488    0    0   464     0 1153 4230  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   1280 26082860 2291600 100074272    0    0   732     0 1151 4271  1  1 98  0  0
 2  0   1280 26082380 2291600 100074960    0    0   316     0 1172 4061  1  0 98  0  0
 1  0   1280 26080888 2291600 100075248    0    0   724  1536 1174 4249  1  1 98  0  0
 2  0   1280 26079900 2291604 100076352    0    0   396    16 1210 4330  1  1 98  0  0
 2  0   1280 26078420 2291604 100076576    0    0   312     0 1195 3967  1  1 97  0  0
 1  0   1280 26078176 2291604 100077584    0    0   712     0 1193 4235  1  1 98  0  0
 1  0   1280 26076424 2291604 100078576    0    0   932     0 1168 4147  1  1 98  0  0
 1  0   1280 26076280 2291608 100079184    0    0   216    16 1170 4208  1  0 98  0  0
 3  0   1280 26067808 2291608 100079464    0    0   204     4 1175 4134  1  1 98  0  0
 2  0   1280 26073576 2291608 100080336    0    0   780     0 1179 4166  1  2 97  0  0
 3  0   1280 26071588 2291608 100081112    0    0   712     0 1163 3933  1  0 98  0  0
 1  0   1280 26069924 2291608 100081744    0    0   528     0 1155 4241  1  1 98  0  0
 1  0   1280 26069180 2291612 100082328    0    0   224    12 1155 4137  1  0 98  0  0
 1  0   1280 26067584 2291612 100082768    0    0   524     0 1150 4229  1  1 98  0  0
 2  0   1280 26066544 2291612 100083728    0    0  1076     0 1177 4146  1  1 98  0  0
 1  0   1280 26062768 2291612 100084640    0    0   512     0 1165 4264  1  2 97  0  0
 1  0   1280 26060700 2291612 100085488    0    0   652     0 1180 4148  1  0 98  0  0
 2  0   1280 26038168 2291612 100086096    0    0   492    12 1103 4162  1  1 98  0  0
 1  0   1280 26027484 2291612 100086768    0    0   568     0 1113 3947  1  1 98  0  0
 1  0   1280 26006392 2291612 100087592    0    0   732     0 1113 4113  1  1 98  0  0
 2  0   1280 25986528 2291612 100088328    0    0   416     0 1103 4032  1  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0   1280 25965252 2291612 100088832    0    0   612     0 1079 3934  1  0 98  0  0
 1  0   1280 25946768 2291616 100089520    0    0   308  2964 1112 4034  1  1 98  0  0
 2  0   1280 25927612 2291616 100090048    0    0   472     0 1093 4090  1  1 98  0  0
 1  0   1280 25905992 2291616 100090624    0    0   336     0 1089 3951  1  1 98  0  0
 2  0   1280 25885956 2291616 100091112    0    0   536     0 1102 4073  1  1 98  0  0
 2  0   1280 25866052 2291616 100091792    0    0   384     0 1108 3911  1  1 97  0  0
 1  0   1280 25845540 2291624 100092400    0    0   356    16 1087 4246  1  1 98  0  0
 1  0   1280 25826112 2291624 100092816    0    0   492     0 1096 3950  1  1 98  0  0
 1  0   1280 25806040 2291624 100093432    0    0   424     0 1095 3955  1  1 98  0  0
 1  0   1280 25785476 2291624 100094112    0    0   348     0 1102 4042  1  1 98  0  0
 3  0   1280 25764572 2291624 100094608    0    0   452     0 1095 4205  1  2 97  0  0
 1  0   1280 25742556 2291628 100095248    0    0   208  1420 1124 3942  1  0 98  0  0
 2  0   1280 25714396 2291628 100095616    0    0   348     0 1109 4099  1  1 98  0  0
 1  0   1280 25702852 2291628 100096128    0    0   496     0 1087 4060  1  1 98  0  0
