procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  16384 12512072 2257204 106609744    0    0    20    33    2    2  2  1 98  0  0
18  0  16384 12517880 2257204 106609760    0    0     0    28 14640 2819 23  3 73  0  0
18  0  16384 12529248 2257204 106609768    0    0     0     8 14139 3245 23  3 75  0  0
16  0  16384 12562892 2257204 106609912    0    0     0   104 15140 3211 23  4 74  0  0
16  0  16384 12586952 2257204 106609920    0    0     0  1908 16211 2302 23  3 74  0  0
17  0  16384 12604604 2257208 106609920    0    0     0    40 16153 3027 23  3 73  0  0
16  0  16384 12645444 2257208 106609936    0    0     0     8 11496 2061 23  3 73  0  0
16  0  16384 12674492 2257208 106609944    0    0     0   104 9976 2210 23  2 74  0  0
16  0  16384 12681112 2257208 106609952    0    0     0    44 14614 4622 23  4 74  0  0
22  0  16384 12684180 2257208 106609968    0    0     0     8 12492 4750 23  2 74  0  0
16  0  16384 12692400 2257208 106609976    0    0     0  1796 15297 2662 24  3 73  0  0
17  0  16384 12697732 2257212 106609984    0    0     0    16 15335 2890 23  3 74  0  0
17  0  16384 12706244 2257212 106609992    0    0     0     8 15418 2800 23  4 73  0  0
17  0  16384 12710652 2257212 106610128    0    0     0     4 14938 2825 23  3 74  0  0
23  0  16384 12710572 2257212 106610144    0    0     0    88 14800 2764 23  3 74  0  0
17  0  16384 12713124 2257212 106610152    0    0     0  1996 15995 2557 23  3 74  0  0
18  0  16384 12718420 2257212 106610160    0    0     0     8 15956 2799 23  3 74  0  0
17  0  16384 12665752 2257212 106610176    0    0     0   116 16980 2524 23  4 73  0  0
16  0  16384 12456916 2257212 106610192    0    0     0     8 13391 2509 22  3 75  0  0
16  0  16384 12295600 2257212 106610192    0    0     0     8 9706 1730 24  3 74  0  0
16  0  16384 12184780 2257212 106610208    0    0     0  1588 13175 3882 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0  16384 12186492 2257212 106610208    0    0     0   120 14876 4988 23  3 74  0  0
17  0  16384 12191692 2257212 106610224    0    0     0    40 13619 5290 23  3 74  0  0
21  0  16384 12196172 2257216 106610232    0    0     0    16 12180 4926 23  3 74  0  0
22  0  16384 12197780 2257216 106610368    0    0     0    92 16271 3189 23  3 74  0  0
16  0  16384 12199872 2257216 106610384    0    0     0  2148 14889 2879 23  3 74  0  0
21  0  16384 12201152 2257216 106610400    0    0     0    12 15947 2403 23  3 74  0  0
21  0  16384 12204740 2257216 106610400    0    0     0     8 14974 2639 23  3 74  0  0
16  0  16384 12202336 2257216 106610416    0    0     0   108 16567 2567 23  4 73  0  0
 1  0  16384 12202908 2257220 106610416    0    0     0   156 14594 1967 20  3 77  0  0
18  0  16384 12194912 2257220 106610432    0    0     0    28 13536 3674 20  3 77  0  0
20  0  16384 12199408 2257220 106610440    0    0     0  1656 13257 3666 22  3 75  0  0
19  0  16384 12201404 2257220 106610464    0    0     0   132 9561 2507 24  2 74  0  0
17  0  16384 12130672 2257220 106610464    0    0     0    12 11912 4510 22  4 74  0  0
17  0  16384 12129652 2257220 106610616    0    0     0    16 14117 4933 22  4 74  0  0
16  0  16384 12126972 2257220 106610624    0    0     0   120 14334 5494 22  3 74  0  0
16  0  16384 12124060 2257220 106610632    0    0     0  1776 12238 4914 22  3 75  0  0
17  0  16384 12119780 2257220 106610640    0    0     0    68 15653 3750 22  4 74  0  0
16  0  16384 12132252 2257220 106610648    0    0     0     8 15293 3034 23  3 74  0  0
18  0  16384 12130976 2257220 106610656    0    0     0    88 15428 2947 23  4 73  0  0
17  0  16384 12131860 2257220 106610672    0    0     0    20 15623 2816 23  3 74  0  0
18  0  16384 12134044 2257220 106610672    0    0     0  1888 16343 2702 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  16384 12132012 2257220 106610688    0    0     0     4 16108 2611 23  4 74  0  0
16  0  16384 12135828 2257220 106610704    0    0     0   108 15118 3069 23  3 74  0  0
17  0  16384 12132032 2257220 106610848    0    0     0    20 16860 2889 23  3 73  0  0
19  0  16384 12132836 2257220 106610864    0    0     0    12 9254 1944 23  3 74  0  0
18  0  16384 11929196 2257224 106610872    0    0     0  1852 8867 2428 22  4 75  0  0
22  0  16384 11930864 2257224 106610880    0    0     0     8 13041 4418 21  5 74  0  0
16  0  16384 11925176 2257224 106610896    0    0     0    24 14036 4820 21  4 75  0  0
17  0  16384 11930212 2257224 106610896    0    0     0     8 11640 4389 22  4 74  0  0
17  0  16384 11923068 2257224 106610912    0    0     0   100 13329 5305 21  6 73  0  0
17  0  16384 11920616 2257224 106610920    0    0     0  1840 13557 2758 21  5 73  0  0
16  0  16384 11916828 2257224 106610928    0    0     0     8 14828 2683 22  4 74  0  0
17  0  16384 11906732 2257224 106610944    0    0     0   116 15846 2576 23  3 74  0  0
16  0  16384 11910020 2257224 106611072    0    0     0     4 16940 2378 23  3 74  0  0
16  0  16384 11914508 2257224 106611088    0    0     0     8 15771 2769 23  3 74  0  0
16  0  16384 11915808 2257224 106611104    0    0     0  1840 15833 2754 23  4 72  0  0
17  0  16384 11913084 2257228 106611104    0    0     0   112 15784 2862 23  3 74  0  0
17  0  16384 11909960 2257228 106611120    0    0     0    16 15464 3122 24  3 73  0  0
16  0  16384 11910708 2257228 106611128    0    0     0    32 10901 2160 23  2 74  0  0
16  0  16384 11690116 2257228 106611136    0    0     0   104 9230 2164 23  3 74  0  0
18  0  16384 11671824 2257228 106611152    0    0     0  1908 14078 4617 22  3 74  0  0
17  0  16384 11656948 2257228 106611152    0    0     0     8 14556 5006 22  4 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  16384 11657744 2257228 106611168    0    0     0   104 12723 4568 23  3 74  0  0
18  0  16384 11658272 2257228 106611312    0    0     0   168 14030 4967 23  3 74  0  0
17  0  16384 11658104 2257228 106611312    0    0     0    24 16225 2451 23  4 74  0  0
18  0  16384 11653524 2257228 106611328    0    0     0   920 13190 2549 21  5 74  0  0
16  0  16384 11648888 2257228 106611336    0    0     0  1028 11894 2389 20  7 73  0  0
16  0  16384 11644660 2257228 106611344    0    0     0     8 11568 2515 19  7 74  0  0
20  0  16384 11645556 2257232 106611352    0    0     0    44 12197 2268 19  7 74  0  0
16  0  16384 11644252 2257232 106611368    0    0     0     4 13066 2520 20  6 74  0  0
16  0  16384 11639444 2257232 106611376    0    0     0   104 12946 2466 20  6 74  0  0
17  0  16384 11638200 2257232 106611392    0    0     0  1888 13446 2598 20  6 73  0  0
20  0  16384 11645600 2257232 106611392    0    0     0     8 16640 2962 23  4 73  0  0
17  0  16384 11649412 2257232 106611536    0    0     0    96 10795 3087 22  3 74  0  0
17  0  16384 11625772 2257236 106611536    0    0     0    24 9343 2198 24  2 74  0  0
18  0  16384 11542556 2257236 106611552    0    0     0     8 12137 4023 22  4 74  0  0
16  0  16384 11539920 2257236 106611560    0    0     0  2180 14513 4658 22  4 74  0  0
18  0  16384 11539368 2257236 106611568    0    0     0   104 13928 5123 22  5 73  0  0
16  0  16384 11544876 2257236 106611584    0    0     0    28 11085 4401 23  3 74  0  0
16  0  16384 11551492 2257240 106611592    0    0     0    32 15956 3283 22  3 74  0  0
