procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 790404 5482076 24573520    0    0  4723   190 4211    3  1  1 99  0  0  0
 0  0   2304 790380 5482076 24573536    0    0     0     0 9842 10733  1  1 98  0  0  0
 0  0   2304 790380 5482076 24573536    0    0     0     0 12063 11616  1  2 97  0  0  0
 0  0   2304 790132 5482076 24573536    0    0     0     0 15246 16411  1  2 97  0  0  0
 0  0   2304 790132 5482076 24573536    0    0     0    84 14819 14770  1  2 97  0  0  0
 1  0   2304 790132 5482076 24573536    0    0     0    16 15529 15596  1  2 97  0  0  0
 2  0   2304 790132 5482092 24573536    0    0     0   248 15127 14811  1  2 97  0  0  0
 0  0   2304 789880 5482092 24573536    0    0     0     0 15282 15971  1  2 97  0  0  0
 2  0   2304 789880 5482092 24573536    0    0     0     0 15267 14592  1  3 96  0  0  0
 1  0   2304 789880 5482092 24573536    0    0     0     0 15178 14314  1  2 97  0  0  0
 0  0   2304 788860 5482092 24573536    0    0     0    80 13372 12429  1  2 97  0  0  0
 0  0   2304 789732 5482108 24573528    0    0     0    72 13495 13116  1  2 97  0  0  0
 0  0   2304 789844 5482108 24573536    0    0     0    12 13223 12467  1  2 97  0  0  0
 0  0   2304 789844 5482108 24573536    0    0     0   160 12920 13821  1  2 97  0  0  0
 0  0   2304 789844 5482108 24573536    0    0     0     0 12678 11799  0  2 97  0  0  0
 0  0   2304 789844 5482108 24573536    0    0     0     0 11761 11607  1  2 97  0  0  0
 0  0   2304 789084 5482108 24573536    0    0     0   152 10802 10404  1  2 98  0  0  0
 5  0   2304 789340 5482124 24573536    0    0     0    40 14086 13877  1  2 97  0  0  0
 1  0   2304 789340 5482124 24573536    0    0     0     4 14885 14120  1  2 97  0  0  0
 0  0   2304 789340 5482124 24573536    0    0     0     0 15279 14637  1  3 97  0  0  0
 2  0   2304 789340 5482124 24573536    0    0     0     0 15039 13897  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 4  0   2304 789340 5482124 24573536    0    0     0     0 15009 14548  1  2 97  0  0  0
 0  0   2304 789088 5482124 24573536    0    0     0    20 15664 14649  1  3 97  0  0  0
 0  0   2304 789088 5482140 24573536    0    0     0    32 15893 15985  1  2 97  0  0  0
 0  0   2304 789088 5482140 24573536    0    0     0     4 13837 13214  1  2 97  0  0  0
 0  0   2304 784008 5482140 24573536    0    0     0     0 15662 15445  1  3 96  0  0  0
 0  0   2304 783752 5482140 24573536    0    0     0     0 15075 14172  1  2 97  0  0  0
 0  0   2304 784516 5482140 24573536    0    0     0     0 12654 13500  1  2 97  0  0  0
 0  0   2304 784516 5482140 24573536    0    0     0   140 15092 13988  1  2 97  0  0  0
 1  0   2304 784516 5482156 24573536    0    0     0    28 12253 11688  1  2 97  0  0  0
 1  0   2304 784000 5482156 24573536    0    0     0     4 15353 14504  1  2 97  0  0  0
 0  0   2304 783504 5482156 24573536    0    0     0     0 16228 15819  1  2 97  0  0  0
 1  0   2304 783504 5482156 24573536    0    0     0     0 15637 14757  1  3 97  0  0  0
 0  0   2304 783504 5482156 24573536    0    0     0     0 15783 16226  1  3 96  0  0  0
 1  0   2304 783504 5482156 24573536    0    0     0    52 15654 14562  1  2 97  0  0  0
 1  0   2304 783504 5482172 24573536    0    0     0    40 16120 15699  1  2 96  0  0  0
 0  0   2304 783504 5482172 24573536    0    0     0   172 15564 14621  1  2 97  0  0  0
 0  0   2304 783504 5482172 24573536    0    0     0     0 16250 15848  1  3 96  0  0  0
 0  0   2304 783504 5482172 24573536    0    0     0     0 15453 14352  1  2 97  0  0  0
 1  0   2304 783504 5482172 24573536    0    0     0     0 15507 14788  1  2 97  0  0  0
 0  0   2304 783504 5482180 24573536    0    0     0   128 15912 14806  1  2 97  0  0  0
 0  0   2304 783504 5482188 24573536    0    0     0    12 15501 14597  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 783504 5482188 24573540    0    0     0     4 11356 11041  1  2 98  0  0  0
 1  0   2304 783504 5482188 24573544    0    0     0   160 15279 15603  1  2 96  0  0  0
 1  0   2304 783504 5482188 24573544    0    0     0     0 15167 14027  1  2 97  0  0  0
 1  0   2304 782992 5482188 24573544    0    0     0     4 15839 15226  1  2 97  0  0  0
 0  0   2304 783504 5482196 24573536    0    0     0   168 15507 14784  1  3 96  0  0  0
 0  0   2304 783504 5482204 24573544    0    0     0    12 16233 15946  1  3 96  0  0  0
 0  0   2304 783504 5482204 24573544    0    0     0     8 15613 14494  1  2 97  0  0  0
 1  0   2304 783504 5482204 24573544    0    0     0     0 15596 14803  1  2 97  0  0  0
 0  0   2304 783504 5482204 24573544    0    0     0     0 15449 14347  1  2 97  0  0  0
 0  0   2304 783504 5482204 24573544    0    0     0    16 15189 14505  1  2 97  0  0  0
 0  0   2304 783504 5482212 24573544    0    0     0    28 15738 15022  1  2 97  0  0  0
 0  0   2304 783504 5482220 24573544    0    0     0   720 15966 16461  1  2 97  0  0  0
 2  0   2304 782992 5482220 24573544    0    0     0    12 15563 14797  2  2 96  0  0  0
 0  0   2304 777816 5482220 24573544    0    0     0     4 13293 14165  1  2 96  0  0  0
 0  0   2304 777068 5482220 24573544    0    0     0     0 14526 13651  1  2 97  0  0  0
 0  0   2304 777036 5482236 24573544    0    0     0   252 15572 16146  1  2 97  0  0  0
 0  0   2304 777164 5482236 24573548    0    0     0   140 15785 14891  1  2 97  0  0  0
 0  0   2304 777168 5482244 24573548    0    0     0   224 16131 15539  1  2 97  0  0  0
 0  0   2304 777168 5482244 24573548    0    0     0     4 15908 14904  1  2 97  0  0  0
 0  0   2304 777168 5482244 24573548    0    0     0     4 15671 14883  1  2 97  0  0  0
 0  0   2304 777168 5482252 24573548    0    0     0    44 15768 14686  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 776656 5482252 24573548    0    0     0     0 16057 16475  1  2 97  0  0  0
 0  0   2304 777168 5482252 24573548    0    0     0    68 15901 15072  1  2 97  0  0  0
 1  0   2304 777168 5482260 24573548    0    0     0    12 16189 15403  1  2 97  0  0  0
 0  0   2304 777164 5482260 24573548    0    0     0     4 15747 15004  1  3 96  0  0  0
 0  0   2304 777236 5482260 24573548    0    0     0    28 16117 16023  1  2 97  0  0  0
 1  0   2304 777236 5482268 24573548    0    0     0    20 12066 11450  1  2 97  0  0  0
 0  0   2304 777236 5482268 24573548    0    0     0     0 15332 14739  1  2 97  0  0  0
 0  0   2304 777236 5482268 24573548    0    0     0    96 15459 14392  0  2 97  0  0  0
 0  0   2304 777236 5482284 24573548    0    0     0   312 15998 15131  1  3 96  0  0  0
 0  0   2304 777236 5482284 24573548    0    0     0     4 15505 15102  1  2 97  0  0  0
 1  0   2304 776724 5482284 24573548    0    0     0   160 15924 16413  1  3 96  0  0  0
 0  0   2304 777236 5482284 24573548    0    0     0     0 15513 14681  1  2 97  0  0  0
 2  0   2304 777236 5482284 24573548    0    0     0     0 15897 15268  1  2 97  0  0  0
