procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 16   5120 20384636 2290808 101146064    0    0 100212 151116 16015 13455 20  4 76  1  0
16  0   5120 20390316 2290840 101110136    0    0 72068 58792 15394 13857 20  5 75  0  0
16  0   5120 20295156 2290872 101187816    0    0 72060 25352 16639 13477 20  4 76  0  0
16  0   5120 20468912 2290872 100983824    0    0 67924     0 16116 13198 19  5 76  0  0
25  0   5120 20416284 2290872 101043904    0    0 59012     0 15753 13816 20  4 76  0  0
16  0   5120 20360332 2290872 101098944    0    0 54160     0 16640 13236 20  5 75  0  0
16  0   5120 20319144 2290872 101149304    0    0 48660     0 16165 13488 19  4 76  0  0
17  0   5120 20284428 2290880 101183696    0    0 30180   896 13230 10748 20  4 76  0  0
16  0   5120 20333184 2290880 101125224    0    0 29308     0 12921 10373 20  4 76  0  0
16  0   5120 20367612 2290880 101096424    0    0 30676     0 14635 12348 20  4 75  0  0
16  0   5120 20342968 2290880 101123776    0    0 27212     0 14833 12759 20  5 75  0  0
16  0   5120 20317116 2290880 101155120    0    0 27788     0 16123 13116 19  4 76  0  0
16  0   5120 20302564 2290888 101175088    0    0 18504  1236 14810 11960 18  5 77  0  0
17  0   5120 20281976 2290888 101195376    0    0 18508 10636 14445 11726 18  5 77  0  0
23  0   5120 20270296 2290888 101210944    0    0 13544     0 14495 11230 18  6 76  0  0
17  0   5120 20262712 2290888 101228688    0    0 16148     0 14316 11846 18  6 76  0  0
16  0   5120 20241684 2290888 101243472    0    0 12620     0 13575 11304 17  6 76  0  0
16  0   5120 20238184 2290892 101255880    0    0 11272    36 13508 11561 17  5 78  0  0
16  0   5120 20228772 2290892 101270616    0    0 11784     0 13872 11317 17  6 77  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0   5120 20212700 2290892 101283568    0    0 10588 44404 15146 12162 18  5 76  0  0
16  0   5120 20203556 2290892 101296176    0    0 11172     4 17279 12064 20  4 76  0  0
17  0   5120 20193016 2290892 101309568    0    0 11604     0 15817 12236 20  5 75  0  0
17  0   5120 20186708 2290896 101322128    0    0  8020    20 15375 12200 20  4 77  0  0
16  0   5120 20178868 2290896 101332472    0    0  8580     0 16851 12685 21  4 75  0  0
