procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2560 1123392 6328228 23460980    0    0     0    68 28647 35272  1  3 95  0  0  0
 1  0   2560 1123392 6328228 23460980    0    0     0     0 24818 28108  1  4 95  0  0  0
 0  0   2560 1123140 6328228 23460980    0    0     0    88 27275 32976  1  4 95  0  0  0
 1  0   2560 1121376 6328228 23460984    0    0     0     0 30271 37723  2  4 95  0  0  0
 1  0   2560 1117056 6328228 23460984    0    0     0     0 30467 37621  1  4 95  0  0  0
 0  0   2560 1125356 6328228 23460976    0    0     0    32 30472 38982  2  4 94  0  0  0
 1  0   2560 1125104 6328236 23460980    0    0     0    52 30054 38563  2  4 95  0  0  0
 0  0   2560 1125104 6328244 23460972    0    0     0    48 29540 37408  2  3 95  0  0  0
 1  0   2560 1125104 6328244 23460980    0    0     0     0 29611 37546  1  5 94  0  0  0
 1  0   2560 1120820 6328244 23460984    0    0     0    96 30208 38174  2  4 94  0  0  0
 0  0   2560 1120820 6328244 23460984    0    0     0    60 29288 36153  2  4 94  0  0  0
 0  0   2560 1120820 6328244 23460984    0    0     0     0 30935 41115  1  5 94  0  0  0
 0  0   2560 1120820 6328252 23460984    0    0     0    76 32098 44649  2  4 94  0  0  0
 2  0   2560 1120060 6328260 23460976    0    0     0    40 28215 34759  1  4 95  0  0  0
 0  0   2560 1120572 6328260 23460984    0    0     0   208 29743 36396  2  4 94  0  0  0
 1  0   2560 1120320 6328260 23460984    0    0     0     0 30167 38121  2  5 94  0  0  0
 0  0   2560 1120320 6328260 23460984    0    0     0     0 29844 36948  1  4 94  0  0  0
 0  0   2560 1120320 6328260 23460992    0    0     0    36 29278 36488  2  4 94  0  0  0
 1  0   2560 1120320 6328268 23460992    0    0     0    20 29602 36437  2  4 94  0  0  0
 0  0   2560 1120320 6328268 23460992    0    0     0    24 29283 35557  1  4 95  0  0  0
 1  0   2560 1120320 6328276 23460992    0    0     0   116 29360 36443  2  3 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   2560 1120320 6328276 23460996    0    0     0     0 29522 36828  2  4 94  0  0  0
 0  0   2560 1120320 6328276 23460996    0    0     0     0 29773 36663  1  4 94  0  0  0
 0  0   2560 1119808 6328276 23460984    0    0     0     8 28846 36466  2  4 94  0  0  0
 0  0   2560 1120320 6328284 23460984    0    0     0    60 27798 33467  1  4 95  0  0  0
 0  0   2560 1120320 6328284 23460984    0    0     0     0 29423 36896  2  4 94  0  0  0
 1  0   2560 1120096 6328292 23460984    0    0     0   148 30433 37814  1  4 94  0  0  0
 1  0   2560 1120096 6328292 23460984    0    0     0     0 29747 36993  2  4 94  0  0  0
 1  0   2560 1120096 6328292 23460984    0    0     0    84 30500 38814  2  4 94  0  0  0
 0  0   2560 1120096 6328300 23460984    0    0     0    20 29097 37000  1  4 94  0  0  0
 1  0   2560 1120096 6328300 23460984    0    0     0     4 29706 37172  2  4 95  0  0  0
 1  0   2560 1120096 6328308 23460984    0    0     0   212 29103 36646  2  4 94  0  0  0
 3  0   2560 1120096 6328308 23460984    0    0     0    84 29325 37594  2  4 94  0  0  0
 1  0   2560 1085868 6328308 23460988    0    0     0    68 28565 34944  2  4 94  0  0  0
 1  0   2560 755852 6328308 23461064    0    0     0   128 42561 216012  8  4 88  0  0  0
 1  0   2560 724888 6328320 23461064    0    0     0   156 31627 34263  6  3 91  0  0  0
 1  0   2560 604828 6328320 23411536    0    0     0 20636 33760 37982  5  4 91  0  0  0
 2  0   2560 444312 6328328 23461204    0    0     0 85816 34104 40242  6  5 89  0  0  0
 1  0   2560 193992 6328328 23461204    0    0     0   100 39536 138126  7  4 89  0  0  0
 1  0   2560 199376 6328328 23461280    0    0     0   436 33602 37648  6  3 91  0  0  0
 0  0   2560 864300 6328328 23461204    0    0     0     0 31456 35630  5  3 92  0  0  0
 2  0   2560 882828 6328340 23461204    0    0     0   344 29881 37793  1  4 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2560 897216 6328340 23461204    0    0     0     4 29726 37542  2  4 94  0  0  0
 2  0   2560 905768 6328348 23461204    0    0     0   128 30262 37595  2  4 94  0  0  0
 2  0   2560 923000 6328348 23461204    0    0     0   156 29568 37114  2  4 94  0  0  0
 0  0   2560 939888 6328348 23461204    0    0     0     0 30275 38599  2  4 94  0  0  0
 1  0   2560 953644 6328348 23461208    0    0     0     0 29304 37564  1  4 94  0  0  0
 1  0   2560 968616 6328356 23461208    0    0     0    40 27661 32468  1  4 94  0  0  0
 1  0   2560 979320 6328364 23461208    0    0     0    52 30237 38198  2  4 94  0  0  0
 1  0   2560 983920 6328364 23461208    0    0     0     0 29611 36488  2  5 94  0  0  0
 1  0   2560 1002160 6328372 23461208    0    0     0   144 29043 36238  1  4 95  0  0  0
 2  0   2560 1016800 6328372 23461204    0    0     0     0 29754 36563  2  4 95  0  0  0
 1  0   2560 980600 6328372 23461220    0    0     0   136 30833 36617  3  3 94  0  0  0
 1  0   2560 697012 6328372 23461276    0    0     0     4 43595 219156  7  4 88  0  0  0
 1  0   2560 652868 6328380 23461308    0    0     0    60 32755 35057  6  3 91  0  0  0
 1  1   2560 394800 6328392 23433104    0    0     0 20848 33456 41081  5  5 90  0  0  0
 1  0   2560 270372 6328392 23461272    0    0     0 85692 33933 39844  6  4 90  0  0  0
 1  0   2560 146464 6328424 23461640    0    0   152   224 37561 146667  9  4 87  0  0  0
 1  0   2560 370600 6328424 23461640    0    0     0   440 31116 34292  6  3 91  0  0  0
 1  0   2560 810120 6328424 23461556    0    0     0    28 28301 34049  2  4 95  0  0  0
 0  0   2560 829192 6328424 23461556    0    0     0     4 29028 36288  2  4 94  0  0  0
 1  0   2560 858508 6328444 23461568    0    0     0   740 29663 37162  2  5 94  0  0  0
 1  0   2560 869544 6328444 23461568    0    0     0     0 29803 37422  2  4 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2560 897932 6328444 23461572    0    0     0    56 29376 37262  1  4 95  0  0  0
 0  0   2560 906776 6328444 23461576    0    0     0     0 30058 38145  1  4 94  0  0  0
 0  0   2560 939540 6328444 23461572    0    0     0   864 30245 39498  2  4 95  0  0  0
 1  0   2560 950752 6328452 23461572    0    0     0    64 29644 37024  1  4 94  0  0  0
 2  0   2560 965124 6328460 23461572    0    0     0    40 30224 38967  1  4 94  0  0  0
 1  0   2560 980348 6328460 23461572    0    0     0   148 29930 38769  2  4 94  0  0  0
 1  0   2560 996172 6328460 23461576    0    0     0     0 29391 36745  1  4 94  0  0  0
 2  0   2560 1008360 6328460 23461576    0    0     0   108 27745 32949  1  5 94  0  0  0
 0  0   2560 1018208 6328468 23461576    0    0     0    64 28041 35026  2  4 94  0  0  0
 0  0   2560 1028248 6328468 23461576    0    0     0     4 29337 37154  2  4 94  0  0  0
 2  0   2560 1033452 6328476 23461576    0    0     0    48 30017 38168  1  4 95  0  0  0
 0  0   2560 1044272 6328476 23461580    0    0     0   228 29863 37301  2  4 94  0  0  0
 0  0   2560 1059156 6328476 23461580    0    0     0     0 29483 37940  1  5 94  0  0  0
 0  0   2560 1063892 6328476 23461580    0    0     0     0 29289 36566  2  4 94  0  0  0
 1  0   2560 1071356 6328484 23461580    0    0     0    12 29569 37012  2  4 94  0  0  0
 3  0   2560 1069228 6328484 23461584    0    0     0     4 30036 38598  2  5 93  0  0  0
 0  0   2560 1074588 6328492 23461584    0    0     0    56 28866 36047  2  4 94  0  0  0
 0  0   2560 1083320 6328492 23461584    0    0     0    84 29573 36500  2  4 94  0  0  0
 0  0   2560 1087372 6328492 23461584    0    0     0   428 27529 33229  2  4 94  0  0  0
 1  0   2560 1091196 6328492 23461584    0    0     0     0 28994 34004  2  4 94  0  0  0
 0  0   2560 1095300 6328500 23461584    0    0     0    84 29312 36280  2  5 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2560 1097348 6328500 23461584    0    0     0    32 28660 35737  1  5 94  0  0  0
 2  0   2560 1098144 6328508 23461592    0    0     0    28 29023 37224  2  4 94  0  0  0
 0  0   2560 1106404 6328508 23461580    0    0     0    96 30462 37516  1  4 94  0  0  0
 0  0   2560 1110928 6328508 23461580    0    0     0     0 29868 36708  2  4 94  0  0  0
 0  0   2560 1112472 6328508 23461580    0    0     0    84 29756 37879  1  4 94  0  0  0
 1  0   2560 1115032 6328516 23461580    0    0     0    44 29551 37287  2  4 94  0  0  0
 2  0   2560 1108988 6328516 23461584    0    0     0     4 29725 37240  2  4 94  0  0  0
 0  0   2560 1112564 6328524 23461580    0    0     0   212 30083 37942  1  4 95  0  0  0
 2  0   2560 1112312 6328524 23461580    0    0     0    68 29190 36384  2  4 94  0  0  0
 0  0   2560 1107268 6328524 23461580    0    0     0     0 27501 33151  2  4 95  0  0  0
 1  0   2560 1107268 6328524 23461580    0    0     0    52 29674 36596  1  4 95  0  0  0
 0  0   2560 1112960 6328532 23461580    0    0     0    36 29998 38713  1  4 95  0  0  0
 0  0   2560 1112708 6328532 23461580    0    0     0    12 29961 37085  2  4 94  0  0  0
 2  0   2560 1113680 6328540 23461580    0    0     0   216 30819 38339  1  4 94  0  0  0
 1  0   2560 1113428 6328540 23461580    0    0     0   124 30701 38895  1  4 95  0  0  0
 1  0   2560 1114104 6328540 23461580    0    0     0     0 30260 37671  1  4 95  0  0  0
 0  0   2560 1114104 6328540 23461580    0    0     0    24 29189 35482  1  3 96  0  0  0
 1  0   2560 1116624 6328548 23461580    0    0     0    12 30034 36799  1  3 96  0  0  0
 1  0   2560 1116624 6328556 23461572    0    0     0    68 30217 37322  1  3 95  0  0  0
 2  0   2560 1116112 6328556 23461580    0    0     0     0 30230 37965  1  4 95  0  0  0
 0  0   2560 1116372 6328556 23461580    0    0     0   208 25956 31075  1  3 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2560 1111864 6328556 23461584    0    0    16     0 27718 33243  2  3 95  0  0  0
 0  0   2560 1111836 6328556 23461604    0    0     0     4 26972 32367  1  3 95  0  0  0
 0  0   2560 1111836 6328564 23461604    0    0     0    48 29316 36422  1  4 95  0  0  0
 1  0   2560 1111588 6328576 23461596    0    0     0    40 28990 36408  1  3 95  0  0  0
 2  0   2560 1111588 6328576 23461604    0    0     0     0 30319 38026  1  4 95  0  0  0
 1  0   2560 1111588 6328576 23461604    0    0     0    96 28956 36702  1  4 95  0  0  0
 2  0   2560 1111588 6328576 23461604    0    0     0     0 28607 35707  1  4 95  0  0  0
 1  0   2560 1111588 6328576 23461604    0    0     0    28 28411 35234  1  4 95  0  0  0
 1  0   2560 1120700 6328584 23461604    0    0     0    32 29679 37441  1  4 95  0  0  0
 2  0   2560 1120448 6328592 23461608    0    0     0    60 29391 36986  1  3 95  0  0  0
 0  0   2560 1120196 6328592 23461612    0    0     0     0 30049 39458  1  3 95  0  0  0
 2  0   2560 1120196 6328592 23461612    0    0     0    72 23670 29529  1  3 96  0  0  0
 1  0   2560 1120196 6328592 23461612    0    0     0   228 27749 32343  2  3 95  0  0  0
 1  0   2560 1119948 6328600 23461604    0    0     0   104 28550 36178  1  4 94  0  0  0
 0  0   2560 1119948 6328608 23461608    0    0     0   128 27511 32845  1  4 95  0  0  0
 0  0   2560 1119948 6328608 23461612    0    0     0     4 26081 30548  2  4 95  0  0  0
 2  0   2560 1119948 6328608 23461612    0    0     0     0 27523 32936  1  4 95  0  0  0
 1  0   2560 1119436 6328608 23461612    0    0     0    88 26065 30666  1  4 95  0  0  0
 2  0   2560 1115852 6328608 23461612    0    0     0    32 27001 32161  2  4 94  0  0  0
 0  0   2560 1115956 6328616 23461612    0    0     0    16 26812 31895  1  4 94  0  0  0
 3  0   2560 1116432 6328616 23461612    0    0     0     0 27663 33980  2  4 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2560 1116528 6328616 23461612    0    0     0     4 26734 30949  1  4 94  0  0  0
 0  0   2560 1116528 6328624 23461604    0    0     0    20 26844 31531  2  4 94  0  0  0
 0  0   2560 1116528 6328624 23461612    0    0     0   176 26747 31818  2  4 94  0  0  0
 0  0   2560 1116528 6328624 23461612    0    0     0     4 26394 31725  2  4 94  0  0  0
 1  0   2560 1116528 6328632 23461612    0    0     0    12 22785 25338  1  4 95  0  0  0
 1  0   2560 1111908 6328632 23461612    0    0     0     0 26215 30172  2  4 94  0  0  0
 0  0   2560 1111740 6328632 23461616    0    0     0     8 29910 35991  1  4 94  0  0  0
 0  0   2560 1111740 6328640 23461616    0    0     0    32 30378 37740  2  4 94  0  0  0
 0  0   2560 1111740 6328640 23461616    0    0     0   160 29669 36572  2  4 93  0  0  0
 2  0   2560 1111740 6328640 23461624    0    0     0     4 30238 37943  2  4 94  0  0  0
 0  0   2560 1111740 6328648 23461624    0    0     0    48 29500 36230  2  4 94  0  0  0
 0  0   2560 1111740 6328648 23461624    0    0     0     0 29169 36250  2  4 94  0  0  0
 1  0   2560 1111228 6328648 23461624    0    0     0    20 29787 37456  2  4 94  0  0  0
 0  0   2560 1111740 6328656 23461616    0    0     0    16 30353 37587  1  4 94  0  0  0
 2  0   2560 1111740 6328656 23461624    0    0     0   188 29593 36169  2  4 94  0  0  0
 2  0   2560 1111740 6328656 23461624    0    0     0     0 29619 36560  2  4 94  0  0  0
 1  0   2560 1111740 6328664 23461624    0    0     0    24 27199 32085  1  4 95  0  0  0
 1  0   2560 1111740 6328664 23461624    0    0     0     0 28834 34074  1  4 94  0  0  0
 1  0   2560 1111740 6328664 23461624    0    0     0     8 29953 36890  1  4 95  0  0  0
 0  0   2560 1111740 6328664 23461624    0    0     0    80 30433 38847  2  5 94  0  0  0
 0  0   2560 1111516 6328672 23461624    0    0     0    20 29657 37372  2  4 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2560 1111516 6328672 23461628    0    0     0    12 30097 37205  1  5 94  0  0  0
 1  0   2560 1111516 6328680 23461628    0    0     0    12 30288 37973  1  4 94  0  0  0
 0  0   2560 1111516 6328680 23461628    0    0     0     0 29561 36933  2  4 94  0  0  0
 0  0   2560 1111516 6328680 23461628    0    0     0     8 29627 36694  2  4 94  0  0  0
 1  0   2560 1111516 6328688 23461628    0    0     0   180 28059 35336  1  5 94  0  0  0
 0  0   2560 1111516 6328688 23461628    0    0     0   756 28528 35002  2  4 94  0  0  0
 2  0   2560 1114728 6328688 23461628    0    0     0     0 28593 37275  2  4 94  0  0  0
 0  0   2560 1114120 6328704 23461628    0    0     0   228 25971 30695  2  4 94  0  0  0
 0  0   2560 1114372 6328704 23461636    0    0     0     4 29049 36372  2  5 94  0  0  0
 0  0   2560 1114372 6328704 23461636    0    0     0    16 29222 35756  2  4 94  0  0  0
 3  0   2560 1114372 6328704 23461636    0    0     0   204 30159 37239  2  4 94  0  0  0
 1  0   2560 1118636 6328704 23461636    0    0     0   176 29188 37515  2  4 94  0  0  0
 0  0   2560 1118636 6328712 23461628    0    0     0    72 29392 37206  2  4 94  0  0  0
 0  0   2560 1118636 6328720 23461636    0    0     0    12 29341 36238  2  4 94  0  0  0
 0  0   2560 1118636 6328720 23461636    0    0     0     0 30323 37344  2  4 94  0  0  0
 1  0   2560 1118388 6328720 23461636    0    0     0     4 29429 36754  1  5 94  0  0  0
 1  0   2560 1118388 6328720 23461636    0    0     0     0 29451 37032  2  4 94  0  0  0
 0  0   2560 1118388 6328720 23461636    0    0     0   204 29447 36297  2  4 94  0  0  0
 0  0   2560 1118388 6328728 23461636    0    0     0    16 29431 37702  1  5 94  0  0  0
 1  0   2560 1118388 6328736 23461636    0    0     0    12 27965 33047  2  4 94  0  0  0
 2  0   2560 1118388 6328736 23461636    0    0     0     0 29297 35861  1  4 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2560 1118388 6328736 23461636    0    0     0     4 28459 35960  2  4 94  0  0  0
 0  0   2560 1117880 6328736 23461636    0    0     0     0 29745 36541  2  4 94  0  0  0
 1  0   2560 1118136 6328744 23461640    0    0     0   364 29788 37057  1  4 94  0  0  0
 0  0   2560 1123128 6328744 23461640    0    0     0     0 29297 36744  2  4 94  0  0  0
 1  1   2560 1118396 6328760 23461632    0    0     0    84 29541 37159  2  4 94  0  0  0
 0  0   2560 1117592 6328760 23461644    0    0     0     0 30064 38465  1  4 95  0  0  0
 1  0   2560 1117340 6328760 23461644    0    0     0     4 29881 38245  2  5 94  0  0  0
 0  0   2560 1117340 6328760 23461644    0    0     0   464 30492 39528  2  3 95  0  0  0
 1  0   2560 1117340 6328760 23461644    0    0     0     0 29497 36961  2  4 95  0  0  0
 1  0   2560 1116584 6328760 23461644    0    0     0     0 28461 35021  1  5 94  0  0  0
 1  0   2560 1116336 6328776 23461644    0    0     0   108 28766 34851  2  4 94  0  0  0
 0  0   2560 1116336 6328776 23461644    0    0     0     0 28960 36534  2  4 95  0  0  0
 0  0   2560 1116336 6328776 23461644    0    0     0     4 28578 35815  1  5 94  0  0  0
 2  0   2560 1116336 6328776 23461644    0    0     0   152 29775 37232  2  4 95  0  0  0
 1  0   2560 1116336 6328776 23461644    0    0     0    96 28666 36282  1  5 94  0  0  0
 0  0   2560 1112016 6328776 23461644    0    0     0    40 29793 38174  2  5 93  0  0  0
 1  0   2560 1112016 6328792 23461644    0    0     0    28 29582 36973  1  4 95  0  0  0
 4  0   2560 1112016 6328792 23461644    0    0     0     0 29286 38988  2  4 94  0  0  0
 2  0   2560 1112016 6328792 23461644    0    0     0     4 29592 36823  1  4 94  0  0  0
 2  0   2560 1112016 6328792 23461644    0    0     0     0 30269 37564  2  4 94  0  0  0
 1  0   2560 1111504 6328792 23461644    0    0     0   100 29891 37254  2  4 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2560 1112016 6328796 23461644    0    0     0     0 28407 34638  2  4 94  0  0  0
 0  0   2560 1112016 6328800 23461648    0    0     0    12 28918 34075  1  4 94  0  0  0
 3  0   2560 1112016 6328808 23461648    0    0     0    32 30030 36821  2  4 94  0  0  0
 1  0   2560 1112016 6328808 23461648    0    0     0     8 29614 36243  1  5 94  0  0  0
 3  0   2560 1112016 6328808 23461648    0    0     0     0 28944 36306  1  4 94  0  0  0
 1  0   2560 1112016 6328808 23461648    0    0     0   208 28441 36258  2  4 94  0  0  0
 1  0   2560 1115276 6328808 23461648    0    0     0     0 29830 38540  2  4 94  0  0  0
 1  0   2560 1115024 6328816 23461648    0    0     0    40 29260 35944  2  4 94  0  0  0
 0  0   2560 1115024 6328816 23461648    0    0     0     0 29472 36700  1  4 94  0  0  0
 0  0   2560 1114512 6328824 23461640    0    0     0    20 28926 36120  1  5 94  0  0  0
 2  0   2560 1115024 6328824 23461652    0    0     0     0 29266 36372  2  4 94  0  0  0
 1  0   2560 1115024 6328824 23461652    0    0     0   128 29607 36767  1  4 95  0  0  0
 0  0   2560 1115024 6328824 23461652    0    0     0    12 27444 33521  2  4 94  0  0  0
 0  0   2560 1115024 6328832 23461652    0    0     0    12 28978 34641  2  4 94  0  0  0
 0  0   2560 1115024 6328832 23461652    0    0     0     0 30019 36896  1  4 94  0  0  0
 0  0   2560 1114772 6328840 23461652    0    0     0    32 30084 37338  2  4 94  0  0  0
 1  0   2560 1114772 6328840 23461652    0    0     0     0 29573 37755  2  4 94  0  0  0
 2  0   2560 1114548 6328840 23461652    0    0     0    56 29721 37363  2  4 94  0  0  0
 1  0   2560 1114548 6328840 23461652    0    0     0     0 29377 36735  2  4 94  0  0  0
 0  0   2560 1114036 6328848 23461652    0    0     0    12 29625 37114  2  3 95  0  0  0
 0  0   2560 1114548 6328848 23461652    0    0     0    12 30337 37447  2  4 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2560 1114548 6328848 23461652    0    0     0     4 29791 36796  1  4 94  0  0  0
 0  0   2560 1114300 6328856 23461652    0    0     0   216 29390 36583  1  4 95  0  0  0
 2  0   2560 1114300 6328856 23461652    0    0     0    84 28577 35790  1  4 95  0  0  0
 1  0   2560 1118396 6328856 23461652    0    0     0     0 28045 33122  1  4 95  0  0  0
 1  0   2560 1118396 6328864 23461652    0    0     0    12 29406 35812  1  4 95  0  0  0
 2  0   2560 1118396 6328864 23461652    0    0     0     0 30712 39547  1  3 95  0  0  0
