tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,160,43.243%,0.315s,0.499s,5.0,3.125%,0,N/A
PAYMENT,164,44.324%,0.264s,0.557s,5.0,N/A,0,N/A
ORDER_STATUS,9,2.432%,0.076s,0.082s,5.0,N/A,0,N/A
STOCK_LEVEL,19,5.135%,0.168s,0.208s,20.0,N/A,0,N/A
DELIVERY,18,4.865%,0.002s,0.003s,5.0,N/A,0,N/A
DELIVERY_BG,18,N/A,0.402s,0.464s,80.0,N/A,0,0
tpmC,Inf,Inf%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,Inf,N/A,N/A,N/A,N/A,N/A,N/A,N/A
