procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  1   2304 653324 5624724 24479400    0    0  2075   112 2944    3  1  0 99  0  0  0
 0  0   2304 652428 5624732 24479352    0    0     0    20 15136 13661  2  3 96  0  0  0
 0  0   2304 651916 5624732 24479352    0    0     0     0 14709 12201  2  2 96  0  0  0
 0  0   2304 653076 5624732 24479360    0    0     0     0 16208 14742  2  2 96  0  0  0
 1  0   2304 653328 5624732 24479352    0    0     0     0 15351 14038  2  3 96  0  0  0
 0  0   2304 653328 5624732 24479356    0    0     0   104 16122 13914  2  3 96  0  0  0
 0  0   2304 653328 5624752 24479364    0    0     0   500 16037 13642  2  3 95  0  0  0
 1  0   2304 653328 5624752 24479364    0    0     0     0 17361 15090  2  3 95  0  0  0
 0  0   2304 654136 5624752 24479364    0    0     0     0 12785 10337  1  2 97  0  0  0
 1  0   2304 654696 5624752 24479364    0    0     0     0 12347 10080  1  2 97  0  0  0
 0  0   2304 652456 5624752 24479364    0    0     0   104 15465 12565  1  2 97  0  0  0
 1  0   2304 652712 5624764 24479364    0    0     0   216 17142 15015  2  3 95  0  0  0
 0  0   2304 652712 5624764 24479364    0    0     0    12 16449 13271  1  2 97  0  0  0
 0  0   2304 652712 5624764 24479364    0    0     0     0 13236 11624  1  2 97  0  0  0
 0  0   2304 652456 5624764 24479364    0    0     0     0 16534 13954  1  3 96  0  0  0
 1  0   2304 652460 5624764 24479364    0    0     0     0 17559 14452  2  3 95  0  0  0
 0  0   2304 652204 5624764 24479364    0    0     0   232 17378 13598  1  2 97  0  0  0
 0  0   2304 652460 5624780 24479364    0    0     0    44 17497 14383  1  2 96  0  0  0
 0  0   2304 653296 5624780 24479364    0    0     0     4 17370 14262  1  3 96  0  0  0
 4  0   2304 653720 5624780 24479364    0    0     0     0 16926 14027  2  2 97  0  0  0
 1  0   2304 653720 5624780 24479364    0    0     0     0 17286 14098  1  2 96  0  0  0
