procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0    512 25304996 2378324 100020960    0    0    51    77    3    5  3  1 96  0  0
17  0    512 25321192 2378324 100020968    0    0     0    24 27670 3710 13  4 83  0  0
16  0    512 25327060 2378324 100020976    0    0     0   132 27788 3637 13  5 82  0  0
17  0    512 25340812 2378324 100020976    0    0     0   236 27499 3860 13  5 82  0  0
17  0    512 25339788 2378324 100020992    0    0     0  1612 27441 3637 13  5 82  0  0
17  0    512 25349776 2378328 100021008    0    0     0    48 27988 3511 13  5 83  0  0
 3  0    512 25365532 2378328 100021024    0    0     0     8 27738 3946 13  4 83  0  0
14  0    512 25370848 2378328 100021040    0    0     0    20 27389 3402 13  5 83  0  0
14  0    512 25374936 2378328 100021056    0    0     0     4 27536 3597 13  4 83  0  0
14  0    512 25303084 2378328 100021040    0    0     0  2072 27780 3684 14  6 81  0  0
15  0    512 25180004 2378328 100021168    0    0     0    36 27491 3392 13  5 82  0  0
14  0    512 25046420 2378332 100021168    0    0     0    16 26221 3560 12  5 83  0  0
14  0    512 24928752 2378332 100021176    0    0     0     4 26171 3535 12  5 83  0  0
15  0    512 24809508 2378332 100021184    0    0     0   104 26572 3767 12  5 83  0  0
15  0    512 24724908 2378332 100021200    0    0     0  1500 25559 3939 14  5 81  0  0
14  0    512 24725540 2378332 100021200    0    0     0     8 27462 3287 14  5 81  0  0
14  0    512 24732216 2378336 100021208    0    0     0   124 28803 3950 13  5 82  0  0
22  0    512 24738884 2378336 100021224    0    0     0     4 27772 3471 13  4 83  0  0
12  0    512 24740296 2378336 100021224    0    0     0    44 27113 3632 13  4 82  0  0
15  0    512 24750108 2378336 100021232    0    0     0  1744 27008 3608 13  5 83  0  0
19  0    512 24744460 2378336 100021248    0    0     0     4 27339 3475 13  5 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0    512 24753368 2378336 100021392    0    0     0   128 27767 3493 13  5 83  0  0
16  0    512 24755576 2378340 100021392    0    0     0     4 28668 3804 13  5 82  0  0
16  0    512 24759560 2378340 100021400    0    0     0    16 27989 3659 13  5 82  0  0
15  0    512 24762384 2378340 100021408    0    0     0  1460 27741 3605 13  4 82  0  0
16  0    512 24764288 2378340 100021408    0    0     0   116 27861 3653 13  5 82  0  0
13  0    512 24767532 2378340 100021416    0    0     0    48 27903 3554 13  5 82  0  0
14  0    512 24769912 2378344 100021424    0    0     0    20 27945 3601 13  5 82  0  0
 1  0    512 24777156 2378344 100021440    0    0     0     8 27161 3589 13  4 83  0  0
14  0    512 24774680 2378344 100021448    0    0     0  1840 27281 3709 13  4 83  0  0
17  0    512 24781888 2378344 100021456    0    0     0     8 27710 3561 14  4 82  0  0
16  0    512 24680032 2378344 100021464    0    0     0     8 26632 3725 13  6 81  0  0
 7  0    512 24636120 2378344 100021472    0    0     0   252 24769 3455 15  4 81  0  0
14  0    512 24634296 2378344 100021616    0    0     0     0 28068 3354 14  4 81  0  0
14  0    512 24635060 2378344 100021616    0    0     0    36 27949 3776 13  5 82  0  0
17  0    512 24636616 2378344 100021624    0    0     0  1628 28038 3273 13  4 83  0  0
 3  0    512 24628836 2378344 100021632    0    0     0     8 27998 3383 13  5 82  0  0
15  0    512 24637908 2378344 100021640    0    0     0   148 28074 3366 13  5 82  0  0
17  0    512 24638604 2378344 100021656    0    0     0    20 27790 3514 13  4 83  0  0
 4  0    512 24643440 2378344 100021664    0    0     0     8 28071 3532 12  5 83  0  0
14  0    512 24647160 2378344 100021680    0    0     0  1504 26947 3499 13  4 83  0  0
16  0    512 24645988 2378344 100021680    0    0     0   124 27929 3739 13  5 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  1    512 24645100 2378344 100021688    0    0     0    68 28338 3413 13  5 82  0  0
15  0    512 24648468 2378344 100021712    0    0     0     8 27169 3560 13  5 83  0  0
13  0    512 24649800 2378344 100021704    0    0     0     4 27715 3332 13  4 83  0  0
18  0    512 24644492 2378344 100021840    0    0     0  1704 28091 3676 13  5 82  0  0
12  0    512 24651144 2378344 100021848    0    0     0     4 28316 3448 13  4 83  0  0
16  0    512 24650684 2378344 100021856    0    0     0     4 26513 3375 12  4 84  0  0
15  0    512 24649216 2378344 100021880    0    0     0    28 26684 3537 13  5 82  0  0
16  0    512 24652488 2378344 100021872    0    0     0   140 27586 3900 13  4 83  0  0
15  0    512 24609512 2378344 100021872    0    0     0  1652 24363 3684 15  5 80  0  0
17  0    512 24604100 2378344 100021880    0    0     0     8 27902 3063 14  5 81  0  0
16  0    512 24598912 2378344 100021888    0    0     0     8 26913 3421 13  5 82  0  0
16  0    512 24604108 2378344 100021888    0    0     0   144 28539 3645 13  5 82  0  0
16  0    512 24594436 2378344 100021896    0    0     0     4 28482 3771 13  5 82  0  0
19  0    512 24606496 2378344 100021904    0    0     0  1812 27409 3710 13  5 82  0  0
16  0    512 24606936 2378344 100021904    0    0     0     4 27654 3654 13  4 83  0  0
16  0    512 24603896 2378344 100022048    0    0     0     4 27374 3597 13  4 83  0  0
19  0    512 24603800 2378344 100022048    0    0     0   140 27978 3526 13  4 83  0  0
16  0    512 24602124 2378344 100022056    0    0     0    24 27979 3954 13  6 81  0  0
16  0    512 24602480 2378344 100022072    0    0     0  1344 26779 3396 13  4 83  0  0
17  0    512 24603468 2378344 100022080    0    0     0   336 27395 4008 13  5 82  0  0
15  0    512 24605196 2378344 100022088    0    0     0   116 28229 3776 13  4 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  1    512 24604544 2378348 100022096    0    0     0    20 26589 3744 13  4 83  0  0
17  0    512 24604904 2378348 100022104    0    0     0     8 27343 3726 13  5 82  0  0
16  0    512 24605200 2378348 100022112    0    0     0   116 27308 3761 13  4 83  0  0
 1  0    512 24601052 2378348 100022128    0    0     0  1620 26288 3769 12  5 83  0  0
13  0    512 24596008 2378348 100022128    0    0     0    20 26876 4141 12  5 83  0  0
18  0    512 24594048 2378348 100022136    0    0     0     4 18332 3004  9  5 86  0  0
13  0    512 24561680 2378348 100022272    0    0     0    20 22126 3525 14  6 80  0  0
19  0    512 24546272 2378348 100022272    0    0     0   120 26493 3751 14  6 80  0  0
11  0    512 24549984 2378348 100022272    0    0     0  1580 27635 3992 13  4 83  0  0
16  0    512 24547720 2378348 100022288    0    0     0     8 27020 3924 13  4 83  0  0
15  0    512 24547868 2378348 100022296    0    0     0   116 27731 3638 13  5 83  0  0
11  0    512 24548976 2378352 100022304    0    0     0    24 27153 3823 13  4 83  0  0
14  0    512 24551572 2378352 100022320    0    0     0    48 28463 3561 14  5 81  0  0
13  0    512 24552032 2378352 100022320    0    0     0  1664 27610 3793 13  5 82  0  0
17  0    512 24560028 2378352 100022328    0    0     0     4 27826 3980 13  5 82  0  0
13  0    512 24560440 2378352 100022336    0    0     0   108 28187 3555 14  4 82  0  0
16  0    512 24556588 2378352 100022344    0    0     0    40 27759 3592 12  5 83  0  0
14  0    512 24569788 2378352 100022352    0    0     0     8 26644 3885 13  4 83  0  0
16  0    512 24568896 2378352 100022480    0    0     0  1700 27516 3870 13  5 82  0  0
16  0    512 24567332 2378352 100022504    0    0     0   124 27673 3569 13  4 82  0  0
16  0    512 24568240 2378352 100022512    0    0     0    44 27768 3582 13  4 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  1    512 24565608 2378352 100022528    0    0     0    24 28356 3897 14  4 82  0  0
16  0    512 24564864 2378352 100022528    0    0     0    12 27639 4082 13  4 83  0  0
23  0    512 24563848 2378352 100022528    0    0     0  1780 27122 3775 13  5 82  0  0
16  0    512 24564268 2378352 100022544    0    0     0     8 24033 3575 14  5 81  0  0
 2  0    512 24562272 2378352 100022560    0    0     0     8 25103 3741 13  5 82  0  0
15  0    512 24567912 2378352 100022560    0    0     0     4 26135 3790 13  5 82  0  0
14  0    512 24566048 2378352 100022592    0    0     0   148 26339 3334 13  4 83  0  0
