procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2304 785004 5483508 24574036    0    0     0   376 1695 4070  0  0 99  0  0  0
 0  0   2304 790068 5483508 24574036    0    0     0     0 1785 4212  1  0 99  0  0  0
 0  0   2304 790068 5483516 24574028    0    0     0    16 1878 4246  0  0 99  0  0  0
 0  0   2304 790344 5483516 24574036    0    0     0     4 1950 4687  0  0 99  0  0  0
 0  0   2304 791004 5483524 24574036    0    0     0    44 1722 3845  0  0 99  0  0  0
 1  0   2304 791000 5483524 24574036    0    0     0    28 2153 5840  1  0 99  0  0  0
 0  0   2304 791256 5483524 24574036    0    0     0    52 1843 4286  0  0 100  0  0  0
 0  0   2304 791008 5483524 24574036    0    0     0     0 1933 4576  1  0 99  0  0  0
 0  0   2304 790644 5483532 24574040    0    0     0    12 2110 5111  0  0 99  0  0  0
 0  0   2304 790504 5483532 24574072    0    0     0     4 1973 4504  0  0 99  0  0  0
 0  0   2304 827708 5483540 24574072    0    0     0    16 2075 4938  1  0 99  0  0  0
 0  0   2304 827460 5483540 24574072    0    0     0     0 1837 4242  0  0 99  0  0  0
 0  0   2304 827460 5483548 24574064    0    0     0   388 1579 3765  0  0 99  0  0  0
 0  0   2304 827460 5483548 24574072    0    0     0     0 1975 4550  0  0 99  0  0  0
 0  0   2304 826708 5483556 24574076    0    0     0    12 1783 4242  0  0 99  0  0  0
 0  0   2304 826208 5483556 24574076    0    0     0   328 2326 6079  1  0 99  0  0  0
 0  0   2304 825696 5483556 24574076    0    0     0     0 2170 5024  0  0 99  0  0  0
