tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,180,48.649%,0.427s,0.735s,5.0,0.000%,0,N/A
PAYMENT,138,37.297%,0.408s,0.601s,5.0,N/A,0,N/A
ORDER_STATUS,24,6.486%,0.155s,0.358s,5.0,N/A,0,N/A
STOCK_LEVEL,10,2.703%,0.337s,0.459s,20.0,N/A,0,N/A
DELIVERY,18,4.865%,0.035s,0.164s,5.0,N/A,0,N/A
DELIVERY_BG,18,N/A,0.472s,0.631s,80.0,N/A,0,0
tpmC,Inf,Inf%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,Inf,N/A,N/A,N/A,N/A,N/A,N/A,N/A
