procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 3  0   2304 844752 5451884 24543904    0    0  5477   214 4416    3  1  1 99  0  0  0
 1  0   2304 844260 5451892 24543932    0    0     0   324 24557 27529  2  4 94  0  0  0
 0  0   2304 844260 5451892 24543932    0    0     0     0 25143 28166  1  4 95  0  0  0
 0  0   2304 844260 5451892 24543932    0    0     0     0 24709 28215  2  4 94  0  0  0
 0  0   2304 844260 5451892 24543932    0    0     0     0 24240 26587  1  4 95  0  0  0
 0  0   2304 844260 5451892 24543932    0    0     0     0 25112 28542  2  4 95  0  0  0
 0  0   2304 844260 5451900 24543932    0    0     0    40 24198 27735  2  4 94  0  0  0
 0  0   2304 844260 5451908 24543932    0    0     0   220 24788 28459  2  4 94  0  0  0
 0  0   2304 844260 5451908 24543932    0    0     0     0 24479 27566  1  4 95  0  0  0
 4  0   2304 844008 5451908 24543932    0    0     0     0 24012 28312  2  4 94  0  0  0
 0  0   2304 844008 5451908 24543932    0    0     0     0 24243 26570  2  4 95  0  0  0
 0  0   2304 843760 5451916 24543932    0    0     0    36 24759 26904  2  4 94  0  0  0
 2  0   2304 843760 5451916 24543932    0    0     0   136 23574 25886  1  4 95  0  0  0
 0  0   2304 843760 5451924 24543924    0    0     0   184 23327 25903  1  4 94  0  0  0
 3  0   2304 843760 5451924 24543932    0    0     0     0 23036 25384  2  4 94  0  0  0
 0  0   2304 843760 5451924 24543932    0    0     0     0 22078 24039  2  4 94  0  0  0
 0  0   2304 843760 5451924 24543932    0    0     0     8 24397 26506  2  3 95  0  0  0
 2  0   2304 843760 5451928 24543932    0    0     0    12 25428 28389  2  4 94  0  0  0
 1  0   2304 843060 5451928 24543932    0    0     0    60 25251 28775  1  4 95  0  0  0
 1  0   2304 847764 5451928 24543932    0    0     0     0 24518 28040  2  4 94  0  0  0
 0  0   2304 847764 5451936 24543924    0    0     0   348 24691 27548  2  4 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 847764 5451936 24543936    0    0     0     0 24187 26901  2  4 95  0  0  0
 1  0   2304 847764 5451936 24543936    0    0     0     0 24126 26988  2  4 94  0  0  0
 1  0   2304 847764 5451944 24543936    0    0     0    16 24213 26994  1  4 95  0  0  0
 2  0   2304 847764 5451944 24543936    0    0     0   100 24910 27238  1  3 95  0  0  0
 0  0   2304 846504 5451944 24543936    0    0     0     0 24781 28135  2  4 95  0  0  0
 2  0   2304 845992 5451952 24543936    0    0     0    36 24386 26953  1  4 95  0  0  0
 1  0   2304 846504 5451952 24543936    0    0     0    56 24360 27065  1  3 96  0  0  0
 1  0   2304 846504 5451952 24543936    0    0     0     0 23690 25719  1  4 95  0  0  0
 1  0   2304 846504 5451960 24543936    0    0     0    12 24668 28066  1  3 95  0  0  0
 0  0   2304 846252 5451960 24543936    0    0     0   140 23595 26443  1  4 95  0  0  0
 1  0   2304 846252 5451960 24543936    0    0     0     0 24776 27209  2  3 96  0  0  0
 0  0   2304 846252 5451960 24543936    0    0     0     0 24324 27160  1  4 95  0  0  0
 0  0   2304 846252 5451968 24543928    0    0     0    16 22897 25141  2  3 95  0  0  0
 0  0   2304 845996 5451968 24543936    0    0     0     0 24011 26569  1  3 95  0  0  0
 0  0   2304 845484 5451976 24543936    0    0     0    12 24901 28150  1  3 96  0  0  0
 0  0   2304 845996 5451976 24543936    0    0     0     8 24635 26840  1  4 95  0  0  0
 1  0   2304 845996 5451976 24543936    0    0     0     0 24766 27591  1  4 95  0  0  0
 1  0   2304 845996 5451976 24543936    0    0     0     0 25029 27651  1  4 94  0  0  0
