procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  2   2304 722504 5622336 24478708    0    0  2085   113 2924    3  1  0 99  0  0  0
 0  0   2304 722776 5622344 24478720    0    0     0    84 7082 7885  1  1 98  0  0  0
 2  0   2304 722520 5622344 24478720    0    0     0     0 6758 7195  1  1 98  0  0  0
 1  0   2304 722520 5622344 24478720    0    0     0     0 6733 7360  1  1 98  0  0  0
 0  0   2304 721792 5622344 24478720    0    0     0   388 6893 7538  1  1 98  0  0  0
 0  0   2304 720508 5622344 24478720    0    0     0     4 6840 8186  1  1 98  0  0  0
 0  0   2304 720252 5622352 24478716    0    0     0   160 6752 7540  1  1 98  0  0  0
 0  0   2304 720508 5622360 24478720    0    0     0    20 6642 7890  1  1 98  0  0  0
 1  0   2304 720508 5622360 24478720    0    0     0     0 6376 6604  1  1 98  0  0  0
 0  0   2304 720508 5622360 24478720    0    0     0     0 6682 6917  1  1 99  0  0  0
 1  0   2304 720508 5622360 24478720    0    0     0     0 6331 6433  1  1 99  0  0  0
 0  0   2304 720252 5622360 24478720    0    0     0   132 6430 6462  0  1 99  0  0  0
 0  0   2304 720252 5622360 24478720    0    0     0     8 6082 5989  0  1 99  0  0  0
 0  0   2304 720252 5622376 24478720    0    0     0    28 6478 6879  1  1 99  0  0  0
 0  0   2304 720508 5622376 24478720    0    0     0     0 6307 6342  0  1 99  0  0  0
 1  0   2304 720508 5622376 24478720    0    0     0     0 6538 6895  1  1 99  0  0  0
 0  0   2304 720252 5622376 24478720    0    0     0     0 6344 6594  1  1 99  0  0  0
 0  0   2304 720508 5622376 24478720    0    0     0     4 6605 7692  1  1 98  0  0  0
 1  0   2304 719996 5622380 24478716    0    0     0   104 6454 6652  1  1 98  0  0  0
 0  0   2304 720508 5622388 24478720    0    0     0    12 6554 6754  1  1 98  0  0  0
 0  0   2304 720252 5622388 24478720    0    0     0     0 6477 6467  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 2  0   2304 720508 5622388 24478720    0    0     0     0 6470 6602  0  1 99  0  0  0
 3  0   2304 720252 5622388 24478720    0    0     0     0 5967 5908  0  1 99  0  0  0
 0  0   2304 720508 5622388 24478720    0    0     0    68 6590 6835  1  1 98  0  0  0
 0  0   2304 720252 5622388 24478720    0    0     0     0 6241 6151  0  1 99  0  0  0
 0  0   2304 720508 5622400 24478720    0    0     0    28 6492 6964  1  1 98  0  0  0
 0  0   2304 720508 5622400 24478720    0    0     0     0 6559 6967  1  1 98  0  0  0
 0  0   2304 715652 5622400 24478720    0    0     0     0 5982 7464  1  1 98  0  0  0
 0  0   2304 716104 5622400 24478720    0    0     0     0 6516 7120  1  1 98  0  0  0
