procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 0  0   2304 674420 5623860 24479124    0    0     0    24 17713 14493  1  3 96  0  0  0
 2  0   2304 674676 5623864 24479120    0    0     0    24 17284 13900  1  2 96  0  0  0
 4  0   2304 674420 5623864 24479124    0    0     0     0 17573 14187  1  3 96  0  0  0
 0  0   2304 674420 5623864 24479124    0    0     0     0 17791 14270  2  3 95  0  0  0
 1  0   2304 674676 5623864 24479124    0    0     0     0 17812 14836  2  3 96  0  0  0
 2  0   2304 674420 5623872 24479124    0    0     0   132 17676 14180  1  3 96  0  0  0
 2  0   2304 674676 5623872 24479124    0    0     0    12 14461 12490  1  2 97  0  0  0
 1  0   2304 674676 5623872 24479124    0    0     0     0 10541 8931  1  2 98  0  0  0
 0  0   2304 674676 5623880 24479124    0    0     0    16 15619 14029  1  2 97  0  0  0
 0  0   2304 674420 5623880 24479124    0    0     0     0 16807 13225  2  2 96  0  0  0
 2  0   2304 674676 5623880 24479124    0    0     0     0 14695 11964  1  2 97  0  0  0
 0  0   2304 674420 5623888 24479124    0    0     0    68 17197 13599  1  3 96  0  0  0
 0  0   2304 674676 5623888 24479124    0    0     0     4 17457 14246  1  2 96  0  0  0
 0  0   2304 674420 5623888 24479124    0    0     0     0 17868 14328  1  3 95  0  0  0
 0  0   2304 673920 5623892 24479124    0    0     0    16 17623 14776  1  3 96  0  0  0
 1  0   2304 673920 5623892 24479124    0    0     0     0 18038 14379  2  3 96  0  0  0
 0  0   2304 669572 5623892 24479124    0    0     0     0 18440 15945  1  2 96  0  0  0
 1  0   2304 668564 5623900 24479124    0    0     0   100 18346 15497  1  2 96  0  0  0
 0  0   2304 668564 5623900 24479124    0    0     0     4 13133 12013  1  2 97  0  0  0
 0  0   2304 668564 5623900 24479124    0    0     0     0 13391 10767  1  2 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st gu
 1  0   2304 668564 5623904 24479124    0    0     0   184 17652 14888  1  3 96  0  0  0
