procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0   1280 25797344 2290488 99021216    0    0    51    76    4    1  3  1 96  0  0
17  0   1280 25800556 2290488 99021224    0    0     0  1300 30997 2599 17  7 76  0  0
17  0   1280 25792284 2290488 99021232    0    0     0     4 30974 2938 18  8 74  0  0
18  0   1280 25796360 2290488 99021248    0    0     0     8 28400 3168 17  7 76  0  0
18  0   1280 25800596 2290488 99021256    0    0     0     4 32077 2708 18  6 76  0  0
16  0   1280 25799512 2290488 99021264    0    0     0   148 34690 2771 19  7 74  0  0
18  0   1280 25801984 2290488 99021264    0    0     0     8 35104 2704 19  6 75  0  0
17  0   1280 25802704 2290488 99021280    0    0     0  1308 33472 3327 17  7 76  0  0
16  0   1280 25802340 2290488 99021280    0    0     0   124 34262 3096 18  6 76  0  0
17  0   1280 25800880 2290488 99021296    0    0     0   116 33908 2624 17  6 77  0  0
16  0   1280 25813892 2290488 99021424    0    0     0    36 33153 3340 18  6 76  0  0
16  0   1280 25817496 2290488 99021440    0    0     0    16 33781 2631 19  7 75  0  0
16  0   1280 25817552 2290488 99021440    0    0     0  1200 33107 2733 17  6 77  0  0
16  0   1280 25820128 2290488 99021456    0    0     0   116 34076 2948 18  7 75  0  0
16  0   1280 25817264 2290488 99021456    0    0     0    68 33408 2849 18  7 76  0  0
16  0   1280 25816968 2290488 99021472    0    0     0     4 30884 2751 18  6 76  0  0
15  0   1280 25820256 2290488 99021472    0    0     0    24 33960 2511 19  6 75  0  0
17  0   1280 25820732 2290488 99021488    0    0     0  1300 34222 2506 18  7 75  0  0
18  0   1280 25819308 2290488 99021504    0    0     0   100 34166 2950 19  7 75  0  0
18  0   1280 25820788 2290488 99021504    0    0     0     8 34562 2827 19  6 75  0  0
16  0   1280 25821584 2290488 99021504    0    0     0     4 34044 2634 18  6 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0   1280 25823908 2290488 99021520    0    0     0    20 34280 2792 19  6 75  0  0
16  0   1280 25826508 2290492 99021520    0    0     0  1340 34216 2487 18  6 75  0  0
19  0   1280 25831312 2290492 99021664    0    0     0    24 34705 2567 19  6 75  0  0
