tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,155,41.892%,0.320s,0.411s,5.0,0.645%,0,N/A
PAYMENT,164,44.324%,0.189s,0.454s,5.0,N/A,0,N/A
ORDER_STATUS,18,4.865%,0.110s,0.165s,5.0,N/A,0,N/A
STOCK_LEVEL,18,4.865%,0.085s,0.241s,20.0,N/A,0,N/A
DELIVERY,15,4.054%,0.027s,0.100s,5.0,N/A,0,N/A
DELIVERY_BG,15,N/A,0.384s,0.409s,80.0,N/A,0,0
tpmC,Inf,Inf%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,Inf,N/A,N/A,N/A,N/A,N/A,N/A,N/A
