procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 16708536 2385084 100159024    0    0    44    40 15688 3836 23  3 74  0  0
23  0    512 16709092 2385084 100159184    0    0   104    20 15494 3212 23  3 74  0  0
18  0    512 16707792 2385084 100159184    0    0     0     4 14961 2533 21  3 75  0  0
16  0    512 16711812 2385084 100159344    0    0    20  1576 16137 2915 23  4 73  0  0
16  0    512 16710740 2385084 100159352    0    0   108   104 16107 2990 23  3 74  0  0
16  0    512 16708244 2385084 100159472    0    0     0     8 17464 2824 23  4 73  0  0
16  0    512 16709060 2385092 100159488    0    0   136    60 11652 2139 23  2 74  0  0
18  0    512 16709436 2385092 100159624    0    0     0     4 10488 1504 24  2 74  0  0
16  0    512 16710252 2385092 100159632    0    0     0  1592 15002 4293 22  4 74  0  0
17  0    512 16701396 2385092 100159768    0    0   128    32 14867 3458 22  3 75  0  0
16  0    512 16703992 2385092 100159776    0    0     0    20 14528 4471 23  3 74  0  0
17  0    512 16712216 2385092 100159776    0    0     8     4 12778 5347 23  3 74  0  0
18  0    512 16713936 2385100 100159808    0    0    20   132 15533 3974 23  3 74  0  0
18  0    512 16713280 2385100 100159824    0    0     0     8 16342 2521 23  3 74  0  0
16  0    512 16711276 2385100 100160008    0    0   176  1488 16484 2190 23  5 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0    512 16710092 2385100 100160080    0    0    76     4 15677 2534 23  3 74  0  0
17  0    512 16710200 2385100 100160304    0    0    76     4 16716 2372 23  4 74  0  0
17  0    512 16708356 2385108 100160304    0    0     0   360 16151 2867 23  3 74  0  0
18  0    512 16699496 2385108 100160320    0    0   104     8 16457 2557 23  3 74  0  0
17  0    512 16703016 2385108 100160464    0    0    44  1420 17409 2559 23  4 73  0  0
18  0    512 16699692 2385108 100160480    0    0   104     4 16457 2697 23  3 74  0  0
17  0    512 16695504 2385108 100160592    0    0     0     4 10412 1726 24  3 74  0  0
16  0    512 16553208 2385108 100160600    0    0     0   116 9834 2499 23  3 74  0  0
16  0    512 16535944 2385108 100160688    0    0    80    28 12661 3632 20  6 74  0  0
16  0    512 16533560 2385108 100160688    0    0     0  1588 11953 3062 20  5 75  0  0
17  0    512 16520048 2385108 100160704    0    0    68     4 12547 3897 21  7 73  0  0
10  0    512 16525272 2385108 100160784    0    0   128    88 9312 3736 22  3 75  0  0
16  0    512 16524388 2385108 100161088    0    0   128    28 13165 4839 20  5 74  0  0
16  0    512 16517768 2385112 100161120    0    0    20    76 13968 2549 21  5 73  0  0
16  0    512 16518636 2385112 100161120    0    0     0  1296 15213 2534 23  3 74  0  0
17  0    512 16517784 2385112 100161136    0    0     0     4 16360 2509 23  4 73  0  0
17  0    512 16522884 2385112 100161392    0    0   128    68 16475 2641 23  3 74  0  0
16  0    512 16525372 2385112 100161400    0    0   104    68 16521 2774 23  4 73  0  0
16  0    512 16525472 2385120 100161568    0    0    56    52 16028 2603 23  3 74  0  0
17  0    512 16522880 2385120 100161584    0    0     0  1500 15600 2380 23  3 74  0  0
16  0    512 16527340 2385120 100161584    0    0   108     8 17356 2771 23  4 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0    512 16528468 2385120 100161696    0    0     0   160 14428 2542 23  4 73  0  0
16  0    512 16522560 2385120 100161688    0    0    20     4 9409 2305 23  4 74  0  0
17  0    512 16510256 2385120 100161712    0    0     0    28 10900 2554 23  2 75  0  0
16  0    512 16505632 2385120 100161728    0    0     0  1556 15797 3554 23  3 74  0  0
17  0    512 16510076 2385120 100161752    0    0    20   124 15449 3758 23  4 74  0  0
19  0    512 16499924 2385120 100161752    0    0     0    16 14466 4528 22  3 74  0  0
16  0    512 16503880 2385120 100161776    0    0     0     8 10569 5390 23  4 73  0  0
20  0    512 16503140 2385120 100161904    0    0     0     4 14889 3168 23  4 74  0  0
16  0    512 16489444 2385120 100161968    0    0    52  1532 13262 2196 21  6 74  0  0
16  0    512 16487692 2385120 100161984    0    0    44   160 13630 2976 20  7 73  0  0
16  0    512 16479592 2385120 100162040    0    0     0     8 13657 2528 21  5 74  0  0
17  0    512 16478076 2385120 100162048    0    0     0     4 16726 2875 23  4 73  0  0
19  0    512 16471448 2385120 100162048    0    0     0   100 16227 2814 23  4 73  0  0
16  0    512 16479104 2385128 100162056    0    0     0  1748 16356 2412 23  3 74  0  0
16  0    512 16480552 2385128 100162064    0    0     0     8 16430 2729 23  3 74  0  0
16  0    512 16478048 2385128 100162104    0    0   108     8 17577 2424 23  4 73  0  0
17  0    512 16477692 2385128 100162224    0    0     0   132 11901 2445 22  4 75  0  0
17  0    512 16475600 2385128 100162224    0    0     0   156 10064 1922 24  4 72  0  0
17  0    512 16385076 2385128 100162240    0    0     0   736 11807 2931 23  3 74  0  0
16  0    512 16386984 2385128 100162248    0    0     0   716 14596 4607 23  3 73  0  0
16  0    512 16387648 2385128 100162376    0    0     0     4 14149 3293 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0    512 16375300 2385128 100162384    0    0     0   108 12128 4735 22  4 74  0  0
19  0    512 16382072 2385128 100162392    0    0     0     4 14072 5214 23  3 74  0  0
17  0    512 16386040 2385128 100162408    0    0     0     8 15806 2962 23  4 73  0  0
18  0    512 16381616 2385136 100162416    0    0     0  1668 15202 2766 23  3 73  0  0
16  0    512 16386724 2385136 100162560    0    0   128   100 15766 2269 22  4 74  0  0
17  0    512 16376492 2385136 100162560    0    0     0    32 13062 2747 20  7 73  0  0
17  0    512 16374840 2385136 100162560    0    0     0     4 12421 2541 19  7 74  0  0
18  0    512 16363032 2385136 100162576    0    0     4     4 12841 2510 19  8 73  0  0
16  0    512 16369140 2385144 100162584    0    0     0  1572 16785 2659 23  4 73  0  0
16  0    512 16372240 2385144 100162592    0    0     0    96 16343 2311 23  3 74  0  0
16  0    512 16374328 2385144 100162600    0    0     8     0 17269 2440 22  4 74  0  0
17  0    512 16373856 2385144 100162616    0    0     0     8 14154 2343 22  3 75  0  0
16  0    512 16370628 2385144 100162736    0    0     0     8 9608 2329 23  4 73  0  0
17  0    512 16089704 2385144 100162760    0    0     8  1560 9464 2624 22  5 73  0  0
17  0    512 16085644 2385144 100162768    0    0     0   236 13820 3962 23  3 74  0  0
16  0    512 16089636 2385144 100162784    0    0     0     4 13879 4385 23  4 74  0  0
20  0    512 16079512 2385144 100163424    0    0     0     8 13816 4072 22  4 75  0  0
16  0    512 16089240 2385144 100163552    0    0     0     8 10897 4393 22  4 74  0  0
18  0    512 16087292 2385144 100163712    0    0     0  1652 15958 4805 22  4 74  0  0
16  0    512 16085352 2385152 100163760    0    0     0   208 16142 3053 23  4 73  0  0
16  0    512 16091188 2385152 100163896    0    0     0     4 15788 2969 23  3 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0    512 16085816 2385152 100163904    0    0    60     8 16824 2495 23  3 74  0  0
16  0    512 16086368 2385152 100163968    0    0   120    92 15373 2978 23  3 74  0  0
20  0    512 16080420 2385152 100164096    0    0     0     4 12968 2818 21  6 74  0  0
19  0    512 16097416 2385152 100164224    0    0     0  1604 10247 2183 17 10 73  0  0
16  0    512 16099180 2385160 100164240    0    0     0    20 10266 2192 17  9 74  0  0
16  0    512 16100216 2385160 100164256    0    0     0     8 10995 2452 17  9 74  0  0
18  0    512 16104488 2385160 100164256    0    0     0   112 13340 2742 20  6 74  0  0
17  0    512 16103480 2385160 100164272    0    0     0  1416 14192 2740 22  4 74  0  0
17  0    512 16104376 2385164 100164400    0    0   128   636 9428 1775 24  2 74  0  0
18  0    512 16097616 2385164 100164408    0    0     0     8 10503 2390 24  3 73  0  0
