procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0    512 23797376 2377296 99145936    0    0 34840 28016 15307 12817 20  5 75  1  0
16  0    512 23769072 2377312 99184608    0    0 33476 26616 16599 12807 21  4 75  0  0
17  0    512 23738824 2377340 99224784    0    0 35076 26524 16514 13232 20  4 75  0  0
18  0    512 23704476 2377356 99264544    0    0 32532 26488 17535 13396 21  5 74  0  0
16  0    512 23678404 2377376 99298432    0    0 28400 26492 16018 12819 20  4 76  0  0
16  0    512 23663180 2377392 99321936    0    0 18220 28496 17078 13278 21  5 75  0  0
17  0    512 23911696 2377404 99025264    0    0 22592 14760 15730 13195 19  4 76  0  0
20  0    512 23895656 2377404 99051960    0    0 30328     4 16082 13392 20  4 75  0  0
18  0    512 23796416 2377408 99079352    0    0 25460 13144 16506 13229 20  5 75  0  0
17  0    512 23866704 2377412 99042272    0    0 11920 35020 8775 9198 17  7 75  0  0
16  0    512 23862984 2377416 99063104    0    0 22276  3980 15938 12783 20  4 75  0  0
16  0    512 23844416 2377416 99095904    0    0 28864  1580 17217 13324 20  4 76  0  0
16  0    512 23817660 2377416 99126104    0    0 27880     4 17227 13954 20  4 75  0  0
16  0    512 23803404 2377416 99155952    0    0 26948     8 17178 13833 20  4 76  0  0
17  0    512 23782572 2377416 99181800    0    0 23168    80 18168 14249 21  5 74  0  0
16  0    512 23769656 2377420 99203840    0    0 20220   100 17924 13972 20  5 75  0  0
16  0    512 23751492 2377420 99225976    0    0 21176  1332 17262 13377 20  4 75  0  0
16  0    512 23738484 2377420 99247984    0    0 18648     4 16540 13894 20  4 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0    512 23719592 2377420 99269872    0    0 18876     8 17069 13831 20  4 76  0  0
16  0    512 23712092 2377424 99285744    0    0 14228   168 16113 13680 20  4 75  0  0
15  0    512 23693404 2377428 99302016    0    0 13408  5828 14213 12363 18  6 76  0  0
16  0    512 23671172 2377428 99314352    0    0 10908  1480 11936 11514 15  7 78  0  0
16  0    512 23651948 2377428 99325616    0    0  9984     8 12090 11293 20  4 76  0  0
21  0    512 23641052 2377428 99340448    0    0 10524     4 15335 12517 21  4 75  0  0
17  0    512 23872776 2377444 99109104    0    0  9904 56344 12594 10255 15  4 81  0  0
18  0    512 23860064 2377444 99121024    0    0 10776     8 16677 13042 20  4 75  0  0
16  0    512 23857776 2377444 99131608    0    0  9264  1420 17176 13703 21  5 74  0  0
16  0    512 23843820 2377444 99146000    0    0 12904   108 16730 13886 21  4 75  0  0
17  0    512 23834700 2377444 99159024    0    0 10164     4 17048 13093 20  4 75  0  0
16  0    512 23831932 2377452 99170464    0    0  9696   204 16471 13667 21  4 75  0  0
17  0    512 23820012 2377452 99183808    0    0 10148     8 17960 13674 20  5 75  0  0
17  0    512 23810852 2377452 99194848    0    0  8680    40 17127 13432 20  5 75  0  0
16  0    512 23799908 2377452 99206896    0    0  9192  1388 17795 13515 20  5 74  0  0
17  0    512 23796868 2377452 99218064    0    0  9100    76 16691 13159 20  4 76  0  0
18  0    512 23784584 2377456 99225472    0    0  5020    20 12632 11026 21  4 75  0  0
17  0    512 23787280 2377456 99233824    0    0  6444     8 15384 12687 21  4 75  0  0
16  0    512 23785040 2377464 99241264    0    0  6152  8256 15385 13442 20  4 76  0  0
17  0    512 23775560 2377468 99251744    0    0  7448 40284 16596 13280 21  5 74  0  0
17  0    512 23758528 2377472 99268368    0    0 11620  3876 17076 13633 20  4 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  0    512 23741660 2377472 99282176    0    0 11880     4 16803 13726 21  4 75  0  0
16  0    512 23731360 2377472 99296848    0    0 10908     4 15538 13621 20  4 76  0  0
17  0    512 23715404 2377472 99306928    0    0  7988    36 16771 13179 21  4 75  0  0
19  0    512 23710416 2377472 99318104    0    0  8288  1704 16127 13394 21  4 75  0  0
