tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,172,46.486%,0.360s,0.500s,5.0,0.000%,0,N/A
PAYMENT,153,41.351%,0.292s,0.463s,5.0,N/A,0,N/A
ORDER_STATUS,15,4.054%,0.180s,0.216s,5.0,N/A,0,N/A
STOCK_LEVEL,13,3.514%,0.201s,0.224s,20.0,N/A,0,N/A
DELIVERY,17,4.595%,0.012s,0.032s,5.0,N/A,0,N/A
DELIVERY_BG,17,N/A,0.486s,0.564s,80.0,N/A,0,0
tpmC,Inf,Inf%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,Inf,N/A,N/A,N/A,N/A,N/A,N/A,N/A
