procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0  16384 21623536 2034588 100505000    0    0    45    68    1    2  3  1 96  0  0
16  0  16384 21681456 2034588 100570816    0    0 63764     0 14136 12638 17  5 77  0  0
15  0  16384 21741228 2034596 100622416    0    0 49628    28 14411 12919 18  6 76  0  0
16  0  16384 21798368 2034596 100668688    0    0 44128  8824 14340 12884 18  5 77  0  0
17  0  16384 21998876 2034596 100708960    0    0 37744     0 13097 11055 19  4 76  0  0
16  0  16384 22069456 2034596 100746312    0    0 35624     0 15366 11995 19  6 75  0  0
16  0  16384 22207136 2034596 100776560    0    0 27788     0 16196 11834 19  5 76  0  0
16  0  16384 22300484 2034604 100804136    0    0 24556    28 16877 11938 20  5 75  0  0
16  0  16384 22367536 2034604 100827808    0    0 21524 12052 16004 12239 19  4 77  0  0
18  0  16384 22423020 2034604 100849200    0    0 19408    16 15637 11437 20  5 75  0  0
17  0  16384 22487176 2034604 100870632    0    0 19252     0 15526 12389 20  5 75  0  0
17  0  16384 22518472 2034604 100888096    0    0 15932     0 13216 10642 19  4 76  0  0
17  0  16384 22553360 2034608 100906608    0    0 15504    20 15607 11629 19  5 76  0  0
16  0  16384 22579572 2034616 100921800    0    0 13328 40996 14322 11176 19  5 76  0  0
16  0  16384 22606912 2034640 100944064    0    0 15248 11000 14855 12044 21  4 75  0  0
16  0  16384 22632316 2034640 100965376    0    0 17384     0 17263 11941 20  5 75  0  0
16  0  16384 22670308 2034640 100981328    0    0 13824     0 15616 12259 20  6 75  0  0
16  0  16384 22699824 2034640 100995232    0    0 12368     0 14420 11391 19  4 77  0  0
24  0  16384 22721304 2034640 101007568    0    0 10208     0 15698 11317 20  4 75  0  0
14  0  16384 22780196 2034644 101021840    0    0 10800    16 15587 12252 19  4 76  0  0
16  0  16384 22819944 2034644 101033544    0    0 10128     0 16815 11586 20  4 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0  16384 22842760 2034644 101046688    0    0  9788     0 17220 11944 19  5 75  0  0
16  0  16384 22890608 2034644 101056656    0    0  9292     0 15393 12135 19  5 75  0  0
16  0  16384 22926580 2034644 101066176    0    0  6708  8248 16729 11644 20  5 75  0  0
16  0  16384 23008088 2034648 101074688    0    0  6444    20 13854 10837 19  5 77  0  0
16  0  16384 23048552 2034648 101083568    0    0  6640     0 15659 11124 20  4 75  0  0
16  0  16384 23093484 2034648 101092704    0    0  6568     0 15873 11659 20  4 76  0  0
18  0  16384 23133236 2034648 101100144    0    0  5948     0 16134 11896 20  5 75  0  0
22  0  16384 23170440 2034648 101109096    0    0  6348 35256 16307 11643 19  5 76  0  0
16  0  16384 23220556 2034652 101118208    0    0  6824    20 15568 11679 20  4 76  0  0
16  0  16384 23275000 2034652 101124744    0    0  4592     0 16883 11698 20  4 75  0  0
16  0  16384 23336532 2034652 101133232    0    0  6112     0 15728 11333 20  4 76  0  0
17  0  16384 23380196 2034652 101140760    0    0  4760     0 14712 10679 20  4 76  0  0
16  0  16384 23386900 2034652 101147632    0    0  5016     0 17205 11258 21  5 75  0  0
17  0  16384 23388140 2034656 101154120    0    0  4744    44 16688 11796 20  4 76  0  0
16  0  16384 23397128 2034656 101162128    0    0  5440     0 16417 11951 20  4 76  0  0
15  0  16384 23401128 2034656 101169088    0    0  4056     0 16011 11503 20  4 76  0  0
16  0  16384 23401348 2034656 101175280    0    0  4920     0 17584 11464 20  4 76  0  0
17  0  16384 23403592 2034656 101181968    0    0  4260     0 16531 12213 20  5 75  0  0
16  0  16384 23362048 2034664 101188848    0    0  3420  2116 15899 11892 20  5 75  0  0
16  0  16384 23317640 2034664 101193488    0    0  2700 38912 13808 10443 20  3 76  0  0
15  1  16384 23298296 2034684 101205008    0    0  6264  9852 15714 11049 21  4 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0  16384 23292232 2034684 101214512    0    0  6828     0 16110 12246 20  4 76  0  0
17  0  16384 23280032 2034684 101224576    0    0  8964     0 16503 12028 20  4 76  0  0
16  0  16384 23279780 2034684 101235504    0    0  7892     0 17856 11730 20  5 75  0  0
23  0  16384 23280996 2034684 101245904    0    0  6768     0 16741 11634 20  4 76  0  0
16  0  16384 23354428 2034692 101168912    0    0  5772 40964 14820 11162 17  4 79  0  0
17  0  16384 23351860 2034692 101177488    0    0  5292     0 17489 11830 20  4 76  0  0
16  0  16384 23340144 2034692 101183984    0    0  5216     0 15282 11561 19  5 76  0  0
 2  0  16384 23249480 2034692 101191240    0    0  4392     0 16124 12197 19  5 77  0  0
